GPE,count
Jelgava,4491
Rīga,3855
turks,3511
Francija,1246
Bauska,1197
Krievija,1141
krievs,1071
Austrija,873
Dobele,726
miņa,670
latvietis,668
mācīt,619
Itālija,530
Tukums,513
viss,497
Pēterburga,467
Amerika,462
Roma,418
prūsis,410
Bulgārija,332
Pēterburgs,331
pagasts,279
Turcija,249
Mārds,218
grieķis,187
parisēt,184
Anglija,183
Grobiņa,173
Aizpute,173
Jule,168
Mina,168
Bosnija,155
Talsi,154
Latvija,148
Indija,147
minēt,141
Indijas,140
augusts,136
Konstantinopole,134
Krima,133
Vienu,131
April,131
vieta,128
franči,125
polis,123
Ēģipte,122
Liepaja,120
Beļģija,106
Rundāle,104
Odesa,102
Maskava,96
Jaunpils,91
visa,90
Bārbele,89
krievs valsts,88
Austrālija,87
Leipciga,86
Priekule,86
Odess,85
Baldone,84
igaunis,82
Asija,82
Durbe,81
Igaunija,78
saMas,75
Talsu,75
Džūkste,73
Bauska apriņķis,73
Persija,70
Ventspils,69
Jurģi,69
Matkule,69
kur,62
Cēsis,60
kars,60
kurzemnieks,60
barons,58
Rundāle pagasts,58
anglis,56
Dundaga,55
augt,55
Japāna,54
es,53
Zerbija,51
Prūsija,51
Zkrunda pagasts,50
Orenburga,50
Rīga pilsēta,50
Grieķija,49
Kuldīga,49
vienreiz,48
viens,47
pilsēta,47
Jelgava pilsēta,47
Gaiķi,46
arvienu,46
Kuldiga,44
Mešamuiža pagasts,44
Ungārija,43
jūds,43
Blīdene,42
februāris,42
Tukumu,42
turks zeme,41
Vienigs,41
Baltija,40
Piltene,39
Hamburga,39
palangēties,39
Dinaburgs,38
Berlīne,38
priekš,37
Leiša,37
tatārs,36
Varšava,36
pirmais,36
Engure,35
Kabile,35
Zpānija,35
Madride,34
Maina,34
Vāczeme,34
turks valsts,34
Stende,33
Leišs,32
Ilūkste,31
Dānija,31
Polocka,31
Emburga,29
Malta,28
tirgus,28
Mai,28
aizupe,28
Kabuls,28
oktobris,28
Ķīna,28
pils,27
pie,26
vispirms,26
Bordo,26
Zosija,25
Kriems,25
Kalnamuiža pagasts,25
Ceraukste,25
ērģeles,25
baks,25
vāci,25
Rīga apriņķis,24
kaunēties,24
Nereta,24
vecs,24
Maskama,23
Portugāle,23
Renda,23
Bukareste,23
Bārta,23
aizupe pagasts,23
Molgunte pagasts,22
Vircava,22
Grendšs pagasts,22
turks kars,22
dzimt,22
Remte,21
Kriemijs,21
Tukums apriņķis,21
Kijeva,21
Auce,21
Palangs,21
vīns,21
Eiropa,21
Kandava,21
vidzemnieks,21
Apriķi,21
caur,20
guberņa,20
vakar,20
Talsu apriņķis,20
pērn,20
Kalkūne,20
palikt,20
Dobele apriņķis,20
dona,19
Turki,19
tu,19
Albānija,19
Minska,19
Ūsiņa pagasts,19
Ugāle,19
Augsburga,19
Bramberģu pagasts,19
Bauska pilsēta,19
Riga,19
Jelgava apriņķis,19
Olaine,19
kopt,19
mirt,18
Mešotne pagasts,18
Platone,18
Ceraukste pagasts,18
Jelgavnieks,18
Mešamuiža,18
Grobiņa pilsēta,18
Ēdole,18
Kauņa,18
Kabile pagasts,18
Nīca,17
Kuldiga apriņķis,17
Lielupis,17
Vāne,17
Zeptembris,17
Jaunjelgava,17
Bukaiši,17
Meklenburga,17
kurss,16
dienvidi,16
Bukaiši pagasts,16
