GPE,count
Rīga,1178
turks,992
Jelgava,636
krievs,459
latvietis,279
miņa,257
Amerika,248
minēt,174
viss,123
Mārds,112
kur,110
Mina,106
Indija,106
pagasts,106
Pēterburga,96
Bauska,88
mācīt,86
prūsis,82
Liepaja,82
Pēterburgs,69
Dobele,67
es,67
krievs valsts,66
Roma,62
polis,55
Indijas,54
Vāczeme,52
Itālija,51
saMas,50
augusts,42
Maskava,37
Kabile,33
Jaunpils,31
Ēģipte,31
parisēt,28
Leišs,27
visa,27
Varšava,25
Konstantinopole,24
Berlīne,23
kurzemnieks,19
Leiša,19
Maina,19
Klaipēds,18
Vienu,18
Cēsis,17
Ventspils,17
karsēt,17
augt,16
tatārs,16
turks zeme,16
vācietis,16
Klaipēda,15
igaunis,15
Dundaga,15
Baldone,15
vieta,14
Malta,14
Priekule,14
vienreiz,14
Aprilis,14
rīdzinieks,13
Amūra,13
Auce,13
jūnijs,13
Jelgava pilsēta,12
Engure,12
Dinburgs,12
palikt,12
Durbe,12
Asia,12
vāci,12
Austrālija,12
dānis,12
tu,12
Čornaja,11
Piltene,11
mirt,11
palangēties,11
jūds,11
turks valsts,10
Kandava,10
Iecava,10
Cīrava,10
Ēdole,10
Asias,10
Grobiņa,10
Bārbele,10
Rundāle,10
Amrika,10
Maija,9
Ārlama pagasts,9
Blīdene,9
jūlijs,9
TN,9
Admirals,9
Aik,9
Kamčatka,9
Vīne,9
Ādaži,9
Jelgavnieks,9
Eņlenders,9
Irkutska,8
Kuldīga,8
Kuldiga,8
Ārlava,8
Ērberģe,8
Ķīna,8
Indijers,8
Jule,8
Gulbene,8
Tukums,8
turp,8
maijs,7
Portugāle,7
Lutters,7
Aizkraukle,7
arvienu,7
visai,6
Valka,6
Leipciga,6
Visss,6
atkal,6
Kanāda,6
Kursišs pagasts,6
Ješs,6
Dinaburgs,6
Gaiķi,6
Dobele pagasts,6
Stende,6
Eiropa,6
Meyer,5
Krimi,5
vāciski,5
Indias,5
Jaunjelgava,5
Japāna,5
sala,5
Remte,5
Mālpils,5
Krima,5
februāris,5
Brukna pagasts,5
Rauna,5
Vilce,5
Jlukste,5
Tukumu,5
Bābele,5
Krasnojarska,5
Jaunpils pagasts,5
Rīga Jūrmala,5
Keisers,5
kaunēties,5
vidzemnieks,5
lauks,4
anglis,4
Adelaide,4
barons,4
Groš,4
rūme pagasts,4
Pols,4
Lestene pagasts,4
April,4
Jūrmala,4
Jģene pagasts,4
Anapa,4
krievs zeme,4
iet,4
Noass,4
Vircava pagasts,4
Banska,4
Lieldiena,4
Vāne,4
pielaide,4
Odessa,4
Palangu,4
ungurs,4
Eipatorias,4
ērģeles,4
malt,4
Bukareste,4
Tula,4
Emburga,4
Kabile pagasts,4
Rīga apriņķis,4
Jurģi,4
Lestene,4
apriņķis,4
Pakaļ-Indias,4
Moss,4
turks Keisers,4
Volga,4
Nirnberga,4
Blīdene pagasts,4
Zloka,4
Cēties,4
Nīca,4
mainīt,4
Betleme,4
grenadieris,3
turks pilsēta,3
Griccgale pagasts,3
Talsi,3
princis,3
Ēdole pagasts,3
Vārme,3
Zardinjers,3
Londona,3
Platone,3
Aitutaks,3
sams,3
Talsu,3
Piltene pagasts,3
sarkanasmuižēties,3
Code,3
oktobris,3
Indriķ,3
Taits sala,3
Kattoļs,3
urrā,3
Polocka,3
ķēniņš,3
Talse apriņķis,3
Makar',3
Bns,3
Jūl,3
Pope,3
Osele pagasts,3
Zicilija,3
Minska,3
Bēne pagasts,3
Zemastopolis,3
Opska,3
pērn,3
pie,3
priekš,3
Kalnamuiža pagasts,3
Kerkliņes pagasts,3
Jelgava pils,3
Pēcak,3
Ģibirija,3
Maroka,3
dzimt,3
Pobuše pagasts,3
sile pagasts,3
Engure Jūrmala,3
Ventespils,3
Opsks,3
Pastende,3
Dzērbene,3
Balaklama,3
ābele,3
Ērgļi,3
Matkule,3
caur,3
Džūkste,3
Danciga,3
Postende pagasts,3
Berne,3
Malta sala,3
Tambova,3
Gārsene,3
brančs,3
Tams,3
Bauska Kemereja,3
Nīgrande,3
Augsburga,2
Milošs,2
Elkšņi pagasts,2
Genuas,2
Piņķs,2
cūka,2
Umurga,2
Ģmeaborga,2
Rīga pilsēta,2
Camba,2
igaunis zeme,2
Zests,2
Nicca,2
pilsēta,2
Varna,2
Bēne,2
London,2
Liepajs,2
Roma pilsēta,2
Liel-Bērse pagasts,2
dīriķis,2
Maskama,2
šī,2
Zalcburgs,2
Elkšņi,2
Adzirri,2
gods,2
Ķelne,2
Staļģene pagasts,2
Staļģene,2
Medze,2
Zavnars,2
ļaudis,2
Vircava,2
Jrlava,2
Platone pagasts,2
Kauņs,2
Iesim,2
mē,2
Rende,2
kapteinis,2
Kruškalne pagasts,2
Bukaiši,2
guldīt,2
Dā,2
Jamaika sala,2
Miuus,2
Kalicce pagasts,2
Cīramas-Dsērme pagasts,2
Pusse pagasts,2
Tirole,2
Rende pagasts,2
kubs,2
Minš,2
Pērkonama pagasts,2
vakar,2
Reds,2
Nargene sala,2
pirts,2
Kaldabruņa,2
Belgrade,2
braukt,2
konstante,2
Vārve,2
Zalonichi,2
Zaķumuiža,2
Poltava,2
Vilce pagasts,2
Zaļenieki,2
Amise,2
Amburga pagasts,2
Ēdene,2
Ventespile,2
Pormsāte,2
Ēvele,2
Mešotne pagasts,2
prūsis valsts,2
kronis Vircava pagasts,2
Molgunte,2
trīs,2
Bauska pilsēta,2
latviski,2
Landzes,2
Kolkarags,2
Kronstatts,2
visa valsts,2
aloja,2
pasaule,2
Dole,2
ik,2
Indijas zeme,2
Gunijads,2
Bauska pagasts,2
Ropaš valsts,2
Donava,2
Bramberģe pagasts,2
Domere,2
koris,2
Jelgava apriņķis,2
Mentespils,2
Novgorodas,2
Ķemere,2
Lielvārde,2
polis zeme,2
Stende dv,2
Kursīši,2
Paplakes pagasts,2
Pūnjes pagasts,2
Kratšs,2
pils,2
Jūn,2
Lēdurga,2
Ribga,2
rudzi,2
Kuba sala,2
Kalnciems,2
Kalaraš,2
Pernama,2
Aprili,2
Cēsis apriņķis,2
rīt,2
Diuburgs,2
konsuls,2
Zibiriu,2
augsts,2
kalns,2
vēl,2
Šauļs,2
Zibirija,2
Pūre,2
Makars,2
ritēt,2
kolonists,2
Elkšņi muiža pagasts,2
Kaima,2
Māciski,2
Taita,2
Kensberga,2
Bauska apriņķis,2
parīt,2
Virtemberga,2
zalve,2
Apriķi,2
Ķur,2
Rešamuiža,1
24. oktobris,1
nota,1
anakonda,1
Matšins,1
Hasenpoth,1
puma,1
kaučuks,1
Indijas Banijāns,1
Gniķere pagasts,1
Bukareste pilsēta,1
Eistreiķcrs,1
Vassiņtone,1
Krāča,1
Pelči,1
Dišas-Jsrieda pagasts,1
Jtalius,1
ģenerālis,1
Pēterburga Gvardias,1
Gmirna pilsēta,1
krokodils,1
Zniķkere pagasts,1
Dods,1
Cēse,1
Dēlija,1
panest valsts,1
divi,1
Podolija,1
Itālija zeme,1
Daugamas-Grīme,1
10. oktobris,1
Alšvanga,1
ekur,1
19. oktobris,1
sveikt,1
21. Mercis,1
Mairak,1
Marokiešs,1
Moluks sala,1
Jskūst,1
Verons,1
Verona,1
šogad,1
17. oktobris,1
Marnus,1
Kēniņiene,1
apriņķis inspektors,1
nest,1
Indijas Brāmins,1
Rīga ceļš,1
