GPE,count
Rīga,3120
Jelgava,1576
turks,765
prūsis,714
latvietis,690
polis,661
krievs,592
Amerika,576
Roma,568
Austrija,523
Itālija,508
minēt,473
Mina,415
Francija,410
Bauska,407
Pēterburga,355
mācīt,308
Pēterburgs,225
pagasts,222
viss,187
Dobele,177
februāris,177
dānis,157
Meksika,150
miņa,144
grieķis,143
Ēģipte,137
Mārds,136
parisēt,134
Indijas,130
Indija,118
Beļģija,108
Ungārija,107
igaunis,101
Vāczeme,96
Turcija,92
Liepaja,92
Portugāle,91
augusts,91
Leipciga,88
vienreiz,80
Maskava,74
kaunēties,71
vieta,67
Varšava,67
franči,66
Madride,60
Vienu,57
Jule,57
Rauna,54
krievs valsts,54
es,53
kur,52
Leišs,51
kurzemnieks,51
Ķīna,50
Berlīne,50
Cēsis,49
Austrālija,47
Leiša,47
Tukums,44
Jaunpils,40
prūsis valsts,40
Japāna,37
Zpānija,31
saMas,31
Ventspils,31
rīdzinieks,30
Rundāle,29
Kuba,28
barons,28
Rīga apriņķis,28
Dinaburgs,27
Maina,27
Džūkste,27
Krima,27
Kabile,26
Kuldīga,26
Linkolns,26
vāci,26
Baldone,26
Aprilis,25
Talsi,25
Rumānija,25
viens,24
Grobiņa,24
Bukareste,24
Rīga pilsēta,24
Volga,24
palikt,23
Konstantinopole,23
Klaipēds,22
Orenburga,22
vīns,22
Klaipēda,21
Minska,21
Oldenburga,20
Kanāda,20
Vs,20
Vīne,20
Hamburga,20
Dundaga,20
pils,20
Radoma,19
Ķelne,19
Bauska apriņķis,19
priekš,18
Dikļi,18
Aizkraukle,18
visa,18
Prāga,18
Eiropa,18
vidzemnieks,18
turks valsts,17
Jelgava Ārrīga,17
Blīdene,17
Asija,17
Pols,17
Jelgava pils,17
Piltene,16
pie,16
Malta,16
palangēties,16
Iecava,16
Valka,16
Gaeta,16
Mai,16
Ribga,16
Lutters,15
tatārs,15
pilsēta,14
Bulgārija,14
urrā,14
ērģeles,14
puebla,14
Kandava,14
arvienu,14
Stende,13
Kuba sala,13
Dobele apriņķis,13
vācietis,13
pirmais,13
Polocka,13
austrietis,13
pasaule,13
Madridi,13
jūds,13
Jelgava apriņķis,12
indietis,12
Jūl,12
Anglija,12
Ņujorka,12
Kalnciems,12
augt,12
TN,11
Nirnberga,11
Gaiķi,11
mainīt,11
Jurģi,11
latviski,11
Belgrade,11
Amrika,11
anglis,10
Kauņa,10
Engure,10
Dinburga,10
Mālpils,10
Banska,10
pērn,10
Auce,10
Aprili,10
anglikānis,10
oktobris,10
Odessa,10
korinte,10
Penkule,10
Ziemeļ,10
Visss,10
pa,10
Kremers,10
kūrs,9
Šauļs,9
Pērnava,9
līga,9
Holandija,9
Kabile pagasts,9
Bārbele,9
napoleons,9
indiānis,9
mirt,9
Zloka,9
landtāgs,9
Priekule,9
Maskama,9
Kandija,9
Bukhara,9
Zalcburga,9
krievs zeme,9
pote,9
Gulbene,9
baks,8
Asias,8
Osolmuiža pagasts,8
Dinburgs,8
Irlava,8
Keisers,8
Emburga,8
aprīlis,8
maijs,8
Kuldiga,8
maģistrāts,8
Mejika,8
Madagaskara,8
līgo,8
Maršama,8
kubs,8
nēģeris,8
Cēsis apriņķis,8
Bauska pilsēta,7
Omska,7
Pope,7
Liepajs,7
polis zeme,7
Moss,7
ungurs,7
aprite,7
Rundāle pagasts,7
Kriems,7
Nīga,7
janvāris,7
Meklenburga,7
Berlīnis,7
rudzi,7
turks zeme,7
Bukaiši pagasts,7
konstante,7
Grenlande,7
Džūkste pagasts,7
Tirole,7
