GPE,count
Rīga,421
Jelgava,341
krievs valsts,169
pagasts,147
latvietis,112
Dobele,99
kur,87
Iecava,42
Vāczeme,41
krievs,38
turks,36
Dundaga,35
es,33
Bauska,31
Priekule,28
Amerika,28
miņa,26
Pēterburga,26
Ēdole,25
prūsis,22
vācietis,21
Kandava,21
Pūre,19
Ēģipte,18
polis,18
Dobele pagasts,18
Cīrava,18
Talsi,18
IO,16
Baldone,16
Ugāle,16
Vircava,15
Kuldiga,15
Kuldīga,15
augt,14
tu,14
apriņķis,14
palangēties pagasts,13
augusts,13
Džūkste,12
palangēties,12
Engure,12
kronis pagasts,11
Vircava pagasts,11
Aik,11
Blīdene,11
vāci,11
Ārlava,11
Dobele apriņķis,10
Vāne,10
Rundāle,9
Pastende,9
Kalnamuiža pagasts,9
Leišs,9
Pēterburgs,9
Maskava,9
Leiša,9
Krecva valsts,8
šis,8
Linde pagasts,8
Liepaja,8
Emburga,8
Vilce,7
Durbe,7
Hamburga,7
Irlava,7
Vadakste,7
Bauska pagasts,7
Lestene pagasts,6
TN,6
minēt,6
Jelgava pils,6
Mina,6
Jaunauce,6
Vandzene,6
Pūre pagasts,6
Jaunjelgava,6
Indijas,6
viss,6
Vērgale,5
jūds,5
Bc,5
igaunis,5
Kabile,5
Kalnciems pagasts,5
Bārbele,5
Bramberģe pagasts,5
Subate,5
Kalnamuiža,5
Zaļasmuiža pagasts,5
kronis,5
Vagner,5
Rasss,5
Vandzene pagasts,5
Tukumu,5
kurzemnieks,4
Code,4
Berline,4
Kabile pagasts,4
Tiņģere pagasts,4
Piltene,4
oktobris,4
Ton,4
Moss,4
Amburga pagasts,4
caur,4
Jūl,4
Tome,4
Pols,4
Lube,4
Krceva valsts,4
Kuldiga pagasts,4
Pusse pagasts,4
Polanga novads,4
Paplaka,4
Kemere,4
Jaunpils,4
Kurgade pagasts,3
Krote,3
Bolumuiža,3
Turlava,3
tā,3
Alepo,3
Roma,3
Remte pagasts,3
Vārmesmuiža pagasts,3
Švaresmuiža,3
Daudzeva pagasts,3
Talsu,3
Mešamuiža pagasts,3
kr. Vircava pagasts,3
