GPE,count
Jelgava,3646
Rīga,3544
Krievija,2311
Francija,1588
Bauska,1483
latvietis,1429
miņa,1408
Vācija,1287
krievs,1065
Anglija,1012
Austrija,1001
Dobele,992
pagasts,735
Bulgārija,715
Tukums,711
turks,704
Pēterburga,666
Turcija,665
Itālija,658
februāris,652
Ēģipte,625
maijs,614
mācīt,605
Amerika,579
viss,483
augusts,419
Pēterburgs,378
Grieķija,374
Aizpute,352
anglis,350
Igaunija,346
jūnijs,342
jūlijs,325
igaunis,318
Mārds,310
Maskava,305
Grobiņa,300
Ventspils,289
polis,261
grieķis,238
Cēsis,236
Roma,234
Baldone,222
vāci,208
Spānija,200
katolis,197
Berline,196
Rundāle,183
Vīne,180
Talsi,175
Ilūkste,171
Indija,165
Talsu,165
Leipciga,161
Baltija,160
prūsis,158
Latvija,156
Beļģija,155
Priekule,152
Džūkste,150
Dānija,148
vieta,146
Varšava,142
Leišs,141
minēt,139
Dundaga,137
pilsēta,135
Jaunpils,130
franči,128
Prūsija,125
visa,125
Bārbele,120
kurzemnieks,114
Leiša,114
Kandava,110
Valmiera,109
Odesa,108
Bauska apriņķis,107
Mina,104
Austrālija,100
Rucava,100
Kuldiga,99
Valka,99
Aprilis,99
Rīga pilsēta,97
tu,96
Kabile,96
Liepaja,93
Vienigs,93
Krima,92
Ungārija,90
Indijas,88
Durbe,86
Ikšķile,85
Gramsda,84
palangēties,83
Japāna,83
es,79
Polija,79
Ķīna,76
Nereta,76
kaunēties,75
Cesvaine,74
Cēsis apriņķis,72
Engure,71
Portugāle,70
Ēdole,69
Vienu,67
barons,66
Gulbene,65
Julija,65
vācietis,64
Vitebska,64
Lielvārde,63
Jurģi,62
Blīdene,62
Piltene,62
Skoda,61
Dobele apriņķis,60
Ceraukste,59
Saldus,58
saMas,58
Maina,57
kur,55
Bauska apgabals,55
Vietalva,54
Ērģeme,54
Alūksne,54
Zkrunda pagasts,54
Īrija,54
Bērstele,53
Jelgava pilsēta,53
Kalsnava,52
Hamburga,52
viens,51
parisēt,50
luterānis,50
Rīga apriņķis,50
Vircava,50
Irlava,48
Asija,47
Aizkraukle,47
priekš,46
Rundāle pagasts,45
Viļņa,45
Kauņa,45
Iekš-Krievija,45
tatārs,44
Koknese,44
Rosa,43
pirmais,42
vecs,42
Kijeva,42
Jaunjelgava,42
Iecava,42
Zerbija,42
Tukumu,41
Code,41
Bauska pilsēta,41
Emburga,41
Lieldiena,41
Bosnija,40
Belgrada,40
Holande,40
