GPE,count
Jelgava,20721
Rīga,15291
Krievija,14330
Riga,12619
Francija,8251
Vācija,8230
Pēterburga,7655
Anglija,5678
Austrija,5156
Bauska,4989
Turcija,4167
Amerika,3882
Itālija,3811
Dobele,3772
Tukums,3397
Maskava,2806
Bulgārija,2691
Roma,2353
Japāna,2177
Pēterburgs,2102
Ventspils,2093
Londona,2008
Beļģija,1718
Varšava,1604
Aizpute,1504
Ēģipte,1309
Grobiņa,1271
Igaunija,1197
Grieķija,1193
Ungārija,1143
Latvija,1096
Odesa,1064
Liepaja,1051
Somija,1048
Polija,1023
Indija,981
Baltija,960
Cēsis,945
Mārds,900
Vīne,895
Baldone,892
Mina,873
Prūsija,868
Albānija,818
Berline,807
Rigs,782
Indijas,752
Talsi,744
Valmiera,703
Ķīna,696
Dānija,644
Ilūkste,631
Jaunpils,621
Džūkste,618
Valka,617
Kuldiga,608
Priekule,607
Spānija,607
Talsu,605
Maķedonija,604
Kijeva,580
Konstantinopole,574
Rumānija,572
Tokija,552
Dundaga,550
Kandava,534
Meksika,517
Portugāle,516
Austrālija,504
Rundāle,495
Bauska apriņķis,489
Koreja,483
Krima,479
Leiša,478
Leipciga,458
Pekina,455
Maroka,433
Kauņa,428
Durbe,424
Ņujorka,422
Vāczeme,421
Leišs,418
Serbija,401
Rīgē,388
Rucava,388
Nīca,379
Bārbele,376
Iecava,366
Engure,355
Bosnija,354
Melnkalne,351
Stokholma,349
Vladivostoka,346
Holande,341
Vitebska,341
Saldus,321
Kopenhāgena,317
Berlīne,316
Tukumu,314
Kabile,312
Piltene,311
Aprilis,311
Dobele apriņķis,310
Asija,305
Jelgava pilsēta,304
Kuldīga,299
Vienu,296
Blīdene,296
Cēsis apriņķis,293
Jaunjelgava,292
Pleskava,291
Zosija,290
Tukums apriņķis,290
Persija,286
Alūksne,286
Harkova,278
Nereta,274
Vircava,273
Riga pilsēta,270
Hamburga,266
Ēdole,266
Šveice,264
Vašingtona,260
Emburga,258
Hamburgs,255
Jule,252
Zerbija,252
Julija,250
Koknese,249
Viļņa,248
Gulbene,246
Cēsīs,243
Poltava,243
Rīga pilsēta,240
Kanāda,239
Minska,236
Brisele,235
Persijs,234
Talsu apriņķis,230
Auce,226
Olaine,224
Dobele pagasts,223
Bukareste,216
Lielupis,214
Odess,212
Šauļs,211
Zviedrija,209
Madridē,207
Grobiņa apriņķis,207
Volga,199
Orenburga,198
Viborga,197
Cesvaine,195
Aizpute apriņķis,195
Mandšurija,191
Stende,188
Kauņa guberņa,188
Ogre,186
Sibirija,185
Tomska,185
Ceraukste,184
Vilande,183
Ērģeme,183
Ilūkste apriņķis,181
Madride,181
Rauna,180
Platone,180
April,179
Maina,178
Vienigs,171
Ventspils apriņķis,171
Riga apriņķis,171
Rundāle pagasts,166
Dignāja,163
Lielvārde,163
Vērgale,161
Jurģi,160
Malta,158
Ugāle,154
Kronštate,150
Matkule,149
Lisabona,149
Code,148
Klaipēda,145
Gramsda,144
Balkans,143
Bārta,143
Aizkraukle,143
Bordo,141
Kalsnava,141
Harbina,140
Eiropa,138
Lieldiena,136
Vietalva,136
Bauska pilsēta,136
Vilņs,134
Riga Jūrmala,134
Parise,132
Oldenburga,130
Port-Artura,130
Dinaburgs,129
Alšvanga,127
Zviedrijas,126
Rīga apriņķis,124
Kalnciems,123
Cīrava,123
Vircava pagasts,122
Petrograda,122
Irlava,122
Zpānija,121
Ikšķile,121
Ārlava,120
Sevastopole,120
Armēnija,119
Krievija valsts,117
Polocka,117
Platone pagasts,117
Gaiķi,116
Skoda,116
Vāne,115
Jelgava apgabals,115
Pretorija,114
Smiltene,114
Narva,114
Zkrunda pagasts,113
Maija,113
Galicija,112
Pūre,111
Jelgava apriņķis,110
Maskama,110
Jelgavnieks,109
Orla,109
Pope,109
Kabile pagasts,109
Grodņa,108
Vitebska guberņa,107
Remte,107
Rostova,106
Dundaga pagasts,105
Novgorodas,104
Gārsene,104
Klaipēds,104
Perma,103
Ērgļi,103
Īrija,102
Sigulda,102
Pērnava,101
Apriķi,100
Bauska apgabals,100
Renda,100
Bēne,99
Danciga,99
Liepajs,98
Peterburga,97
Valmiera apriņķis,97
Vaiņode,96
Dzērbene,94
Sosija,93
Ceraukste pagasts,93
Tula,93
Kuldiga apriņķis,92
Smoļenska,92
Krimulda,92
Iekš-Krievija,92
Marija,91
Budapešta,91
Kalnamuiža pagasts,90
Bukaiši,90
Stukmaņi,89
Sabile,89
Daugavpils,88
Kursišs pagasts,87
Sesava,86
Marseļa,86
Bērstele,86
Lestene,85
Baznica,85
Zomija,85
Vārme,85
Kuba,84
Vilce,83
Kaira,83
Belgrade,82
Zmiedrija,82
Pastende,81
Tukums pilsēta,81
Jaunpils pagasts,81
Vologda,80
Āsrika,80
Jaunpili,80
Ļaudona,79
Taškenta,79
Saratova,79
Florida,78
Sece,78
Madagaskara,78
Kr,77
Samara,77
Radoma,77
Amsterdama,77
Bauska pagasts,76
Mālpils,75
Code pagasts,75
Zaļenieki,75
Iecamas pagasts,74
Jurjeva,74
Lubāna,74
Valka apriņķis,73
Visaugstaks,73
Skrunda,73
Belgrada,73
Vjatka,72
Fc,72
Svēte,72
Kalkūne,72
Mācija,71
Asrika,71
Aleksandrija,71
Spanija,71
Iecava pagasts,71
Subate,71
Mogiļeva,70
Jumurda,70
Lestene pagasts,69
Austro-Ungarija,69
Dikļi,69
Osolmuiža pagasts,69
Niga,69
Jelgava pils,69
Lodza,69
Baldone pagasts,69
Alabams,69
Mešamuiža pagasts,68
Cardissa,68
Port,68
Tambova,67
Svēte pagasts,67
Čerņigova,66
Daugava,66
Bukaiši pagasts,66
Ziemeļ,66
Kolumbija,65
Eleja,64
Pārdaugava,64
Kalnciems pagasts,63
Zibirija,63
Mongolija,63
Mešotne pagasts,63
Zante,63
Krecva valsts,63
Liepaja pilsēta,63
Lielupe,63
Aprili,63
Prāga,63
Amūra,62
Kuldigs,62
Holandija,61
Jaunjelgava apriņķis,61
Stelpe,61
Kalnamuiža,61
Lejasciems,61
Lēdurga,60
Lube,60
Padure,60
Rosa,60
Eleja pagasts,60
Amsterdams,60
Ērberģe,59
Bramberģe pagasts,59
Palangā,59
Vadakste,59
Krimūnu,58
Milāna,58
Drustu,58
Karpats,57
Palangu,57
Kongo,57
Karpata,56
Nica,56
Novgoroda,56
Edinburga,56
Holandi,56
Augsburga,56
Rubene,56
Grenči pagasts,55
Pope pagasts,55
Madridi,55
Stokholms,55
Emburga pagasts,55
Krasnojarska,55
Biksti,55
Ēdole pagasts,55
Atēna,54
Kursišs,54
Riga osta,54
Celgava,53
Merca,53
Terbata,52
Jurjevs,52
Rēvele,52
Madona,52
Bramberģu pagasts,52
Palangs,52
Faro,52
Omska,51
Dole,51
Berne,50
Hercegovina,50
Dignāja pagasts,49
Petrograds,49
Pleskava guberņa,49
Grobiņa pilsēta,48
Dunalka,48
Rende,48
Skrīveri,48
Vilņa,48
Ribga,48
Mai,48
Madliena,48
Saldū,48
Pēterburga pilsēta,48
Sauka,47
Seula,47
Ķelne,47
Ādaži,47
Kīna,47
Kurska,47
Kišiņeva,47
Krecvija,47
Dinaburga,47
TN,46
Staļģene,46
Jamaika,46
Grenči,46
Nereta pagasts,46
Brasilija,46
Mastava,45
Iekš-Krieviju,45
Dvinska,45
Umurga,45
Saloniks,45
Antverpene,45
Kretinga,45
Jalta,44
Berlīnis,44
Bārbele pagasts,44
Kuba sala,44
Latgale,44
Ķijeva,44
Zaldus pagasts,44
RR,44
Zloka,44
Ventspils pilsēta,44
Kurmene,44
Elkšņi,44
Jelgava šoseja,44
Ziemeļ-Amerika,43
Kalēti,43
Balgale,43
Nītaure,43
Kabuls,43
Zentene,42
Pols,42
Kaldabruņa,42
Masiava,42
Džūkste pagasts,42
Malme,42
Mukdena,42
Bauska apr.,42
Magone,42
Elkšņi muiža pagasts,41
Sabiedrotās valsts,41
Ūsiņa pagasts,41
Kamčatka,41
Vagner,41
Turcija Osicials,41
Arabija,41
Iekškrievijas,41
Lutriņu pagasts,41
Praga,41
Naudite pagasts,41
Torņakalns,40
Kaukasija,40
Barselons,40
Lutriņiem,40
Kūba,40
Manila,40
Odesa pilsēta,40
Tadaiķi,40
Briselis,40
Tērpata,40
Tibeta,40
Ļvova,40
Tirole,39
Zemgale,39
Limadija,39
Paplaka,39
Nīca pagasts,39
Litene,39
Priekule pagasts,39
Mecaks,38
Vandzene,38
Livadija,38
Matkule pagasts,38
Straupe,38
IO,38
Honkonga,38
Marija iela,38
Vērgale pagasts,38
Rundāle pag.,38
Dobele apgabals,37
Demene,37
Saldus pagasts,37
Liona,37
Hersona,37
Pērkone pagasts,37
Jclgava,37
Kalkūne pagasts,37
Vecpils,37
Kalkuts,37
Meklenburga,37
Roja,37
Gulbene pagasts,37
Vecmuiža,37
Vilce pagasts,37
Smirna,37
Šķēde,36
Grendšs pagasts,36
Neapole,36
Japana,36
Vācija valsts,36
Ģloka,36
Caricina,36
Zante pagasts,36
Smārde,36
Cēsis pilsēta,36
Penkule pagasts,36
Jekaterinburga,36
Zūru pagasts,36
Virtemberga,35
More,35
Kriemijs,35
Ladoga,35
Dalbe,35
Zaļenieki pagasts,35
Mešamuiža,35
Taurkalne,35
P. pagasts,34
Ugāle pagasts,34
Rucama pagasts,34
Krape,34
Venta,34
Moss,34
Šveicija,34
Valtaiķi,34
Kriems,34
Arensburga,34
Nirnberga,34
Durbe pagasts,33
Samara guberņa,33
Oktobers,33
Indriķis,33
Tume,33
Grobiņa pagasts,33
Reimsa,33
Stavropole,33
Krceva valsts,33
Potsdama,33
Alšira,33
Aik,33
Banska,33
Barselona,32
Belgrads,32
Maskava pilsēta,32
Odessa,32
Penkule,32
Prode pagasts,32
Bēne pagasts,32
Kuldiga pagasts,32
Ģibirija,32
Pētcrburga,32
