GPE,count
pārdot,14
Dzērbene,14
Perths,14
Milāna,14
Tavira,14
visai,14
Mācija,14
Liona,14
Pchtcrburga,13
Zloka,13
Serbija,13
Kuba sala,13
līgo,13
vienreiz,13
Grobiņa apgabals,13
Ārlama pagasts,13
lagūna,13
Madona,13
Aleksandrija,13
Zmiedrija,13
saratovēties guberņa,13
Stukmaņi,13
Baldone pagasts,13
tā,13
Vircava pagasts,13
Kuldiga pilsēta,13
Iecava pagasts,13
Rucama pagasts,13
Colberga,13
Maina,13
Skrunda,13
Melnkalne,13
Jaunpils pagasts,13
Nigranda pagasts,13
Odess,13
Banska,13
Maskama,13
Dinaburga,12
Renda,12
Orenburga,12
Trinidadi,12
Kristianija,12
Methile,12
katolis iela,12
Narvs,12
Mālpils,12
Pūre pagasts,12
Kamerūna,12
malks,12
Praga,12
Kalnamuiža pagasts,12
vispirms,12
Pilskalns pagasts,12
Sēme,12
tatārs,12
Carnikava,12
Lēdurga,12
Zaļenieki pagasts,12
Pernavs,12
Ļaudona,12
Vidscme,12
Roja,12
Rubene,12
jaungads,12
Prode pagasts,12
viesis,12
Anna pagasts,11
Persija,11
Zeptembri,11
Barbadosa,11
Zentene pagasts,11
Valgale pagasts,11
Zaldus pagasts,11
Eleja pagasts,11
TN,11
Priekule pagasts,11
Polocka,11
Svēte,11
Virtemberga,11
Cardisss,11
Krievija valsts,11
Jrlama pagasts,11
Persijs,11
Prāga,11
Gibraltāra,11
Auglija,11
Jelgava Dievakalpošana sv.,11
Marija,11
vasara,11
Amsterdams,11
Oktobers,11
Vologda,11
Samara,11
Alšmanga pagasts,11
Zemite pagasts,11
Bauska pagasts,11
latviete,11
dona apgabals,11
Jurjevs,11
līga,11
reņģe pagasts,11
Pleskava guberņa,11
Palangu,11
Kalnamuiža,11
Ērģeme pagasts,11
Aizkraukle,11
aizupe,11
Samara guberņa,11
aprīlis,11
Kacdanga pagasts,11
Aloā,11
Marseļa,11
Code pagasts,11
Friedrichsrūi,11
Laguayra,10
lasis,10
Palangā,10
Vācija valsts,10
mainīt,10
Vārme,10
Biksti,10
Rende pagasts,10
Kretinga,10
Demene,10
Arkangeļska,10
kūrs,10
Pekina,10
Harburga,10
Grobiņa pagasts,10
Dieppe,10
Sigulda,10
Durbe pagasts,10
reņģe,10
Taurkalne,10
Pēterburga guberņa,10
Vandzene pagasts,10
Nov,10
vāci valsts,10
Kurska,10
Ventspils pilsēta,10
Grobiņa pilsēta,10
Darmštate,10
Balgale,10
Rudbāršs pagasts,10
Stettini,10
turks kars,10
Matkule pagasts,10
Irlava pagasts,10
Berliuē,10
Port,10
Arabija,10
liels,10
Liel-Vircava pagasts,10
Kijevs,10
Alšira,10
Tukums apgabals,10
Rīga osta,10
Demerara,9
Asija Krievija,9
Džūkste pagasts,9
Potsdama,9
Bēne pagasts,9
Dzelsava,9
Ēdole pagasts,9
Āsriks,9
Vilce pagasts,9
Opekalna,9
Vāne pagasts,9
pers,9
Austrija valsts,9
Kīga,9
viens,9
palma,9
Vadakste pagasts,9
Mešotne pagasts,9
Bramberģe pagasts,9
Saka,9
Tambova,9
Pārdaugava,9
Jnlija,9
Fovey,9
Rumānija,9
grants,9
Saldus pagasts,9
Plymouths,9
malka apriņķis,9
sala,9
Radoma,9
Iekš-Krieviju,9
Zunderlands,9
Berne,9
Čikaga,9
Zkursteņa pagasts,9
Kreta,9
Briņķs,9
Magone,9
Kasaņa,9
Celgava,9
Šveice,9
Stettine,9
priekš,9
Sauka,8
puse pagasts,8
Lutriņu pagasts,8
slāvs,8
Ērberģe,8
turks valsts,8
Riga apriņķis,8
Budapešta,8
Uza,8
Tula,8
tauta,8
Smoļenska,8
Toboļska,8
Berbise,8
Kalkuts,8
vidzemnieks,8
Decembers,8
Mogiļeva guberņa,8
Sauka pagasts,8
Nītaure,8
kaut pagasts,8
Neapole,8
Cēre pagasts,8
arvienu,8
Limerika,8
Suseja pagasts,8
Bērstele pagasts,8
prāva,8
Remte pagasts,8
Kurmene,8
Krimūnu,8
malt,8
Dunte,8
Prode muiža pagasts,8
Zeptemberis,8
Mas-Asija,8
Abesinija,8
Arensburga,8
novadnieks,8
Norveģija,8
Zigulda,8
Zunderlande,8
Lejasciems,8
Blyth,8
Bauska apr.,8
Ķijeva,8
Torņakalns,8
Francija valsts,8
Liel-Sesava pagasts,8
Ādaži,8
Odesa pilsēta,8
Londone,8
mirt,8
kongress,8
holandietis,8
pirmais,8
Mastava,8
pa,8
Driksa,8
Drustu,8
Vasarsvētki,8
Taškenta,8
Vec-Moka pagasts,8
salds,8
Vaiņode pagasts,8
Mešamuiža pagasts,8
Liepupe,8
Kuldigs,7
Krcevija,7
Penkule pagasts,7
Bebrine pagasts,7
skrīveris,7
nogale pagasts,7
Poole,7
Heinrichs,7
Turcija valsts,7
Kandama pagasts,7
Vitebsks,7
Vecpils pagasts,7
Grienmalde pagasts,7
a. nams,7
Straupe,7
meija,7
plūdi,7
sāms sala,7
Liel-Eleja pagasts,7
Jnija,7
Zeptembers,7
Krasnojarska,7
Decemberis,7
Omska,7
9. Julija,7
Elkšņi,7
Barselons,7
Pēterburga pilsēta,7
Jalta,7
dzimt,7
Havre,7
Volinija,7
Visby,7
Vārme pagasts,7
Krets,7
Tērpata,7
Angusta,7
stiga,7
Zlēku,7
Venta,7
Ceraukste,7
visa pagasts,7
Zaldus,7
Manils,7
k. nams,7
malka,7
šis,7
Kīna,7
Valmiera apgabals,7
Irlama pagasts,7
Dunalka,7
Smiltene,7
Mecaks,7
Ribga,7
Cēre,7
Apalachicolas,7
Pastende,7
Minska guberņa,7
Bristole,7
Rucava pagasts,7
Bārta pagasts,7
šī,7
Podoļska,7
apgabals,7
Rīga Jūrmala,7
Ķandava,7
pretorijs,7
Ziemeļ-Amerika,7
burtnieks,7
Krēta sala,7
Emburga pagasts,7
Perma guberņa,7
Paplaka,7
Lodza,7
Visaugstaks,7
Salgale,7
lasis pagasts,7
Tesalija,7
Kuldiga pagasts,6
Snēpele pagasts,6
Novgorodas guberņa,6
c. pagasts,6
tirgus,6
japānis,6
Liel-Auce pagasts,6
Viburga,6
Eardissa,6
sava,6
Brukna,6
krogs,6
Caunjelgava apriņķis,6
Tāši pagasts,6
Tula guberņa,6
Mērsrags,6
Rēvele,6
Tomska guberņa,6
Vilņs,6
Limadija,6
Zantiaga,6
Charkova,6
Tirkšļs pagasts,6
Kukšu pagasts,6
Kukšu,6
jūrmala,6
Sosija,6
Hongkonga,6
Jaunpils apgabals,6
Zoda,6
Orla guberņa,6
Nīga,6
Liverpoole,6
Nu-Jorka,6
Gulbeni,6
Vec-Saule pagasts,6
Durbana,6
Okte,6
Gramsde pagasts,6
Blīdene pagasts,6
sods pagasts,6
Nurmuiža pagasts,6
Elsenere,6
Vakar-Indija,6
Pedele pagasts,6
Kalēti pagasts,6
Maskava pilsēta,6
mācīt valsts,6
Kroņa-Misa pagasts,6
Livadija,6
Saldū,6
Taganroga,6
Bosnija,6
Krcemija,6
sods,6
Mālupe,6
Pērkone pagasts,6
liels iela,6
Lipaiķs,6
Raņķi pagasts,6
Gothenburga,6
Raņķi,6
Šmeicija,6
Dole,6
Čikago pilsēta,6
Jelgavas-Bauska apriņķis,6
Armeniešs,6
auseklis,6
Pope pagasts,6
soda pagasts,6
Moss,6
Bukaiši,6
Ciecere,6
Graudņa,6
Volga apgabals,6
Gibraltārs,6
Plymoutha,6
Zkrunda,6
Alps,6
Krona pagasts,6
Skrīveri,6
Umurga,6
Stende pagasts,6
Daugava,6
T. pagasts,6
Dminska,6
Narma,6
Kusa,6
Talsu apgabals,6
Mārija,6
Meca,6
Leitha,6
Baltiešs,6
Dvinska,6
Ķeisarisks,6
e. pagasts,6
Tynis,6
dānis,6
kurss,6
Kalēti,6
Caricina,6
Okt,6
fabrika,6
Pērkone,6
Larisa,6
Francija Dreisuss,6
Orenburga guberņa,6
Zibīrija,6
Aizpute pagasts,6
barons,5
Kandava apgabals,5
Aarhusa,5
More,5
Pensakols,5
Ikšķile,5
Belise,5
Auce pagasts,5
Perth,5
Blythe,5
Nica,5
Iecamas,5
viņš,5
Kuldīga apriņķis,5
Havrē,5
R. pagasts,5
Mangaļs,5
Misa,5
Zvārde pagasts,5
kubs,5
Sēme pagasts,5
Amerika latvietis,5
Aurumuiža pagasts,5
Jrlava,5
Indriķis,5
Dole pagasts,5
Hamburga pilsēta,5
Roma pilsēta,5
Kaukasija,5
Jelgava latvietis,5
Vidzeme,5
landtāgs,5
Tume,5
Jurjema,5
Tulona,5
abas,5
Zūru,5
Akniša pagasts,5
Švitene pagasts,5
Krievija pilsēta,5
Zantos,5
Ēvele,5
Vironija apgabals,5
Kursišs,5
Epira,5
19. Julija,5
aizupe pagasts,5
Petroviča,5
rubenis,5
bikstīt pagasts,5
dūre pagasts,5
Grangemoutha,5
polis valsts,5
jūds,5
vējava,5
Kurzeme pagasts,5
Eiropa Krievija,5
Krccmija,5
Šauļs apriņķis,5
Svēte pagasts,5
Aizpute pilsēta,5
Vana,5
Nigrande pagasts,5
Zeptembris,5
Pēterbnrga,5
Brukna pagasts,5
vidus,5
Cēsis apgabals,5
Piltene apriņķis,5
Pilskalne pagasts,5
konstante,5
Verova apgabals,5
Abacija,5
Koplava pagasts,5
kuģinieks,5
nomembrāt,5
svētdien,5
Ritene,5
Ayr,5
Bāta pagasts,5
Varšama,5
Zīrija,5
Vērgale pagasts,5
Ziemupe,5
Nemcastli,5
Pertha,5
b. nams,5
Viļna,5
Berlīnis,5
Rētiņa,5
Reinberga,5
Pastende pagasts,5
Pedele,5
Riaā,5
Rumenija,5
kurkt muiža pagasts,5
Kalkūne,5
Port-Artura,5
Viktorija,5
Tetelminde pagasts,5
Kurzeme,5
Bolderaja,5
parāt,5
Jaunjelgavu,5
Jēkabnieki,5
secēt,5
Santos,5
Gatšina,5
pērn,5
Habarovska,5
Dec,5
Mangaļs pagasts,5
Lubāna,5
Knldiga,5
La,5
Krape,5
Ladoga,5
Znēpele pagasts,5
Dursupe,5
Buršuā,5
Ziemeļ,5
Dramnieks,4
startēt,4
Kalmara,4
Gente,4
Vilce,4
Bramberģu pagasts,4
Korsika,4
Elsenera,4
Zcrbija,4
d. pagasts,4
Zavans,4
Jelgava guberņa,4
Zauka,4
Rende,4
Tume pagasts,4
Zūrām,4
30. Julija,4
Riliga,4
godalga,4
popēt,4
tirsa,4
Vec-Platone pagasts,4
Dikļi,4
Decembcris,4
striķis,4
Monca,4
vest,4
Upesmuiža pagasts,4
Brandenburga,4
Prāgs,4
