GPE,count
krievs valsts,557
Jelgava,451
Rīga,303
Dobele,169
Rīgē,160
turks,120
krievs,120
latvietis,107
pagasts,101
Vērgale,86
Baldone,71
Dobele pagasts,66
polis,56
Vāczeme,54
palangēties,52
Iecava,50
kur,46
Kandava,41
Engure,41
es,36
palangēties pagasts,34
prūsis,34
Ugāle,33
augusts,32
Bauska,31
Rundāle,27
Pēterburga,26
Piltene,26
Varšava,25
Vārme,25
Gulbene,25
Ārlava,25
Amerika,24
Vircava,22
Vircava pagasts,22
Kuldiga,21
Pūre,20
Ugāle pagasts,20
Ēģipte,20
Leišs,19
Augsburga,18
Pēterburgs,18
Bārbele,18
Ēdole,18
Pope pagasts,18
Priekule,17
Jule,17
Engure pagasts,17
Bārbele pagasts,17
Leiša,16
Auce,14
Cīrava,14
Vērgale pagasts,14
Pope,13
Jaunpils,13
April,13
Krecva valsts,12
Kuldiga pagasts,12
Gulbene pagasts,12
Roma,12
Bauska pagasts,11
Tukums,11
sala,11
Jaunjelgava,11
Ulman,11
Vāne,10
Kalnamuiža pagasts,10
Vagner,10
Baldone pagasts,10
Zūre pagasts,10
vācietis,10
vāci,10
kurzemnieks,10
IO,10
Pastende,10
kūrs,9
Kalnciems pagasts,9
Hildebrand,9
Rende pagasts,9
jūds,9
viss,9
sudrabs,9
Rundāle pagasts,9
augt,9
Mina,8
Dinaburgs,8
Kuldīga,8
Bukaiši,8
Priekule muiža,8
Elkšņi,8
Vārme pagasts,8
Jaunauce,8
Itālija,8
rīdzinieks,7
Mērsrags,7
Jaunauce pagasts,7
Kursišs pagasts,7
Dundaga,7
Bramberga pagasts,7
Kabile,7
Durbe,7
Kuldigs,7
Rb,7
miņa,7
oktobris,6
zemgalietis,6
Iecava pagasts,6
minēt,6
Aik,6
igaunis,6
Engure muiža,6
grims,6
Lestene,6
Ārlava pagasts,6
Amburga pagasts,6
Vīne,6
Vandzene pagasts,6
Meyer,5
Elkšņi pagasts,5
Ziemuppe pagasts,5
kronis Vircava pagasts,5
Liepaja,5
Elisabeth,5
Klaipēda,5
Indijas,5
Snēpele,5
Rende muiža pagasts,5
gads,5
Riga,5
Ventespils,5
Drustu,5
jūrmala,5
Kalkūne,5
Keisers,5
Mešamuiža,5
Pols,4
Languth,4
Auremuiža pagasts,4
Lambertmuiža pagasts,4
Kalnciems,4
Krceva valsts,4
dzīvot,4
Tāši pagasts,4
Smārde,4
Kaive pagasts,4
Cēsis,4
vieta,4
pie,4
Vilce,4
Vērgala pagasts,4
Bauska Pilsmuiža,4
tā,4
Maskava,4
Kandava pagasts,4
Tiņģere pagasts,4
Grendše pagasts,4
Kalnamuiža,4
pamuša pagasts,4
Dunalka,4
palangēties muiža pagasts,4
šis,4
ļaudis,4
Dignāja pagasts,3
Veccsauka pagasts,3
Fock,3
Kuldiga apriņķis,3
Ane,3
Iģene pagasts,3
Zkrunde pagasts,3
Citts pagasts,3
Code,3
pieteikties,3
Vebruar,3
Auce pagasts,3
Selģs,3
Padere pagasts,3
Valcs pagasts,3
Irlava pagasts,3
Jaunpils pagasts,3
Rhode,3
polis valsts,3
Rumbesmuiža pagasts,3
Pusse pagasts,3
Kukšu,3
Bramburgas pagasts,3
Ance,3
aug. grims,3
Kuldiga pilsēta,3
Tittelminde pagasts,3
Subate,3
jurģi Jēkabs,3
apriņķis,3
bērs,3
Dekšs,3
rudzi,3
Kc,3
krievs zeme,3
Šauļs,3
Dundaga pagasts,3
Zūru,3
Rešumuiža pagasts,3
Rende,3
