GPE,count
Riga,5774
Krievija,4854
Jelgava,3349
Pēterburga,3010
krievs,2519
Anglija,2169
Vācija,2159
Francija,1824
latvietis,1335
Japāna,1333
anglis,1110
Turcija,1047
Austrija,912
Maskava,898
Londona,863
turks,746
Itālija,707
japānis,692
Tukums,690
polis,630
Varšava,624
Amerika,619
Ventspils,569
Somija,545
Bauska,491
Bulgārija,462
Ungārija,440
Odesa,430
Dobele,418
Ķīna,395
Pēterburgs,390
Aizpute,374
Koreja,373
Maķedonija,366
vāci,355
Igaunija,338
Tokija,320
Baltija,308
Grobiņa,303
igaunis,292
Vladivostoka,260
Polija,258
vācietis,249
Cēsis,245
Maroka,234
Berline,228
Beļģija,223
Pekina,219
Roma,218
Rigs,208
Spānija,203
Harkova,199
pilsēta,196
Vīne,193
Valmiera,191
Serbija,188
pagasts,188
Kijeva,186
Latvija,175
Liepaja,163
Ilūkste,161
Dānija,156
Saldus,154
Valka,148
baks,148
Prūsija,147
Indija,147
Mandšurija,145
Jaunpils,145
Rīga,140
Indijas,138
Portugāle,136
Šveice,135
maijs,133
Holande,133
Poltava,133
Kuldiga,131
Talsi,130
Ņujorka,128
Port-Artura,123
Bauska apriņķis,121
Dundaga,121
Konstantinopole,119
Grieķija,118
Džūkste,115
Vašingtona,115
Riga pilsēta,112
amerikānis,112
Pretorija,109
Jelgava pilsēta,108
kaunēties,107
Persijs,105
Durbe,103
Nīca,103
Austrālija,101
kars,100
Priekule,97
Viborga,96
Olaine,96
oktobris,94
Kauņa,92
dienvidi,91
Leiša,88
parisēt,88
ķīnietis,87
dona,87
Alūksne,86
grieķis,86
februāris,86
Vitebska,85
Stokholma,84
Koknese,84
Talsu,83
Ceraukste,83
Talsu apriņķis,83
Zviedrija,80
Tukumu,79
Emburga,77
marts,77
sloka,75
Alšvanga,75
Dobele apriņķis,74
Tukums apriņķis,74
Baldone,74
Pleskava,74
Cēsis apriņķis,74
augusts,73
svētdien,73
Grobiņa apriņķis,72
Harbina,71
Riga apriņķis,71
krievs valsts,71
Bosnija,70
Iecava,70
Rucava,69
Riga Jūrmala,69
apriņķis,67
Asija,67
guberņa,67
Cēsīs,66
Tomska,66
Krima,64
Hamburgs,64
Šauļs,63
Kandava,63
Viļņa,63
armēnis,63
Jaunjelgava,61
pretorijs,61
jūlijs,61
saratovēties,60
Vilande,60
Aizpute apriņķis,59
Persija,59
Fc,59
Sevastopole,59
Vircava,58
Minska,58
slāvs,57
miņa,57
jūnijs,57
Ilūkste apriņķis,57
Cesvaine,56
Sibirija,56
Jurjeva,56
es,55
Grodņa,55
Blīdene,55
Zviedrijas,55
Rostova,54
Lube,54
Leišs,53
Nereta,52
Krievija valsts,51
Ventspils apriņķis,51
Brisele,51
Ogre,50
Kanāda,50
Kolumbija,50
Platone,50
Madridē,49
Orla,49
Peterburga,48
Port,48
Narva,47
Engure,47
Kuldīga,46
Lielupis,46
Samara,45
Rundāle,45
palangēties,45
Sosija,44
Rumānija,44
Auce,44
kaunēties guberņa,43
mācīt,43
Svēte,43
Kopenhāgena,43
Berlīne,43
Kauņa guberņa,43
Ēģipte,42
Rauna,42
Smiltene,42
Seula,41
ebrejs,40
tatārs,40
Rēvele,40
Smoļenska,40
Iecava pagasts,39
Odess,38
Tula,38
Gulbene,38
Mukdena,37
franči,37
Platone pagasts,36
Piltene,36
Kabile,36
Hamburga,36
Jurjevs,35
serbs,35
Čerņigova,35
tverties,35
Zaļenieki,35
Armēnija,34
Jelgavnieks,34
Dignāja,34
Ļaudona,34
Lodza,34
kurds,33
Subate,33
Bēne,33
Perma,33
Sigulda,32
Svēte pagasts,32
Volga,32
Taškenta,32
Remte,32
Leipciga,31
osta,31
Kišiņeva,31
Budapešta,31
Ļaojana,31
Saratova,31
Melnkalne,31
Vilņs,30
Hercegovina,30
Lodša,30
kongress,30
Tambova,30
katolis,30
Lielvārde,29
Parise,29
kur,29
Jelgava dievkalpošana sv.,29
Zerbija,29
Dzērbene,29
Cīrava,28
Oldenburga,28
Tibeta,28
Iecamas pagasts,28
Visaugstaks,28
Vologda,28
Port-Arturs,28
Pārdaugava,28
Kurska,28
Kalnciems,28
Japana,28
Madride,28
Vjatka,27
armija,27
Pēterburga pilsēta,27
majors,27
Japaņs,27
vīns,27
kurzemnieks,27
Sabile,27
katolis iela,26
Ziemeļ,26
Eiropa,26
Stukmaņi,26
Palangā,26
Madliena,26
Sesava,26
Saldū,26
Zosija,25
Drustu,25
Valmiera apriņķis,25
Kīna,25
Jelgava apriņķis,25
Marija,25
Stende,24
Amsterdams,24
prāva,24
Kr,24
b. nams,24
Liepajs,24
bostons,24
Orenburga,24
Honkonga,24
Baznica,24
viss,23
Vaiņode,23
Novgorodas,23
sestdien,23
zviedrs,23
Austro-Ungarija,23
Code,23
Marseļa,23
Radoma,23
Bārbele,23
Aizkraukle,22
vest,22
bikstīt,22
šis,22
Belgrade,22
Albānija,22
Kronštate,22
Jelgava šoseja,22
Malta,21
Bauska pilsēta,21
Daugava,21
Bārta,21
Durbana,21
Niga,21
salds,21
Skrīveri,21
bota,21
Dvinska,20
Sece,20
dona apgabals,20
Asrika,20
Iekškrievijas,20
Aprilis,20
Skrunda,20
latviete,20
Vilņa,20
Mastava,19
Skoda,19
Mogiļeva,19
sala,19
Amūra,19
Āsrika,19
Ventspils pilsēta,19
Masiava,19
Austroungārija,19
Sauka,19
Barselons,19
Dole,19
Jaunpili,19
Polocka,18
Jalta,18
Holandi,18
novembris,18
Renda,18
Amsterdama,18
Dobele pagasts,18
Eleja,18
dievkalpošana,18
Saldus pagasts,18
Eleja pagasts,18
sāms sala,18
Valka apriņķis,18
prūsis,18
bikstīt pagasts,18
Dundaga pagasts,18
Krimulda,18
Vecmuiža,18
Vietalva,18
skrīveris,17
Dunalka,17
Martinika sala,17
Krasnojarska,17
Karakasa,17
Meksika,17
iv,17
Sabiedrotās valsts,17
Edinburga,17
stacija,17
Lejasciems,16
Kuldiga apriņķis,16
Torņakalns,16
Jumurda,16
Ugāle,16
Mālpils,16
Kīniešs,16
kosa,16
Kalsnava,16
Liepaja pilsēta,16
Čemulpa,16
Amūra apgabals,16
Manila,16
Driksa,16
Šangs,16
Vilce,16
Ģibirija,16
Praga,16
Jelgava apgabals,16
Daļnija,16
Kreta sala,15
Vircava pagasts,15
lietava,15
ugunsgrēks,15
Omska,15
Maslava,15
Briselis,15
Ērgļi,15
k. nams,15
Gorkijs,15
Portsmuta,15
turks kars,15
Krupps,15
Pērnava,15
Skrīveri iela,15
Tadaiķi,15
majestāte,15
Durbe pagasts,15
More,14
Kuldigs,14
portugālis,14
Padure,14
Vērgale,14
Anglija valsts,14
Odesa pilsēta,14
Lielupe,14
Danciga,14
Maskava pilsēta,14
Liepoja,14
Ēdole,14
Berne,14
Hersona,14
Olaine pagasts,14
Ķijeva,14
Zmiedrija,14
lasis,14
Japāna valsts,14
Amerika sabiedrot Valstis,13
Vārme,13
Tukums pilsēta,13
Krape,13
kaluga,13
Pērkone pagasts,13
Persijos,13
republika,13
tā,13
Zaļenieki pagasts,13
Lestene,13
Mongolija,13
apgabals,13
Straupe,13
nodaļa,13
Matkule,13
Zomija,13
Jaunpils pagasts,13
bezdarbs,13
ungārs,13
Blagoveščenska,13
Julija,13
Andišana,13
Pastende,13
fabrika,13
Jekaterinburga,12
Emburga pagasts,12
dzimt,12
Kongo,12
Jaunjelgava apriņķis,12
Biksti,12
Skujene,12
Alšira,12
Ķrievija,12
Marija iela,12
vecs,12
ērglis,12
vāci valsts,12
tabors,12
vakar,12
Kc,12
Smārde,12
Vāne,12
Nagasaks,12
Kalnamuiža,12
Kasaņa,11
Belostoka,11
Slampe,11
Meņģele,11
Vecpils,11
vidzemnieks,11
Maina,11
Ērberģe,11
Ziemeļ-Amerika,11
Rubene,11
Irlava,11
Dobele iela,11
Habarovska,11
Revele,11
Jelgova,11
Kaldabruņa,11
Lutriņu pagasts,11
Kalkuts,11
Stavropole,11
valdīt,11
Jsc,11
Saloniks,11
tauta,11
Spanija,11
saratovēties guberņa,11
Ceraukste pagasts,11
Charbina,11
sava,11
Vācija valsts,11
Nereta pagasts,11
Smirna,11
Neapole,11
Sevastopols,11
auseklis,11
Barselona,11
Čeļabinska,11
baks pilsēta,11
Krecvija,11
Šveicija,11
Arensburga,11
nesen,11
Livadija,11
Stelpe,11
Vitebska guberņa,11
salonikot,10
g.,10
Īrija,10
atēna,10
Bauska apr.,10
Kauguri,10
Riaā,10
landtāgs,10
Sarkandaugava,10
Bresta,10
Samara guberņa,10
Jrkutska,10
a. nams,10
Rlga,10
kantons,10
godalga,10
Stambula,10
Lisabona,10
būrs,10
Krcevija,10
Zaldus pagasts,10
Palangu,10
Caricina,10
Ērģeme,10
Haga,10
Dole pagasts,10
Polija cars,10
Nica,10
Apšuciems,10
Abesinija,10
viesis,10
lasis pagasts,10
Tetelminde pagasts,10
Kaira,10
Krievija Keisars,10
Priekule pagasts,10
Bramberģe pagasts,10
pirmais,10
Bornsmindes pagasts,10
Lutriņiem,10
Gaiķi,10
Joannesburga,10
Code pagasts,9
Kroatija,9
Skotija,9
Švitene pagasts,9
Osolmuiža pagasts,9
Gārsene,9
tas,9
Kalabrija,9
Lubāna,9
Kamčatka,9
Druviena,9
Kcievija,9
Kinčoas,9
Pope,9
Bramberģu pagasts,9
Ungarija,9
Bārta pagasts,9
Kasablanka,9
students,9
Čondša,9
Kalnciems pagasts,9
Jnsbruka,9
Prode pagasts,9
Krīsburga,9
Stopiņi,9
Kuldīga apriņķis,9
Kaukasija,9
Pēterburga šoseja,9
šoseja,9
Spāre,9
Stokholms,9
Saksija,9
Ladoga,9
Iekš-Krievija,9
togad,9
Roja,9
Tēerana,9
Kasdanga,9
Kretinga,9
Kuba,9
Harkovs,8
Klaipēda,8
st.,8
Vladivira,8
Blīdene pagasts,8
liels,8
Mārciena,8
sala pagasts,8
Apriķi,8
dānis,8
Mārds,8
Tome,8
Pleskava guberņa,8
Lins,8
Anna pagasts,8
reņģe,8
persietis,8
Francija republika,8
Lēdurga,8
soma,8
Orla guberņa,8
Bezarabija,8
Abgunste,8
albānis,8
Strenči,8
vieta,8
Jelgava Ārriga,8
Pope pagasts,8
grīva,8
Prauliena,8
Taurupe,8
Austrija valsts,8
ērģeles,8
Dignāja pagasts,8
Baldone pagasts,8
Sece pagasts,8
Šoen,8
holandietis,8
Celgava,8
Ciecere pagasts,8
dome,8
Novgoroda,8
Augškurzeme,8
augsts,8
Odziena,8
gubernators,8
viņš,8
Aleksandrija,8
Panama,8
Aīna,7
Vecumnieki,7
Liona,7
Krustpils,7
ārlietas,7
Madridi,7
Suvorovs iela,7
popēt,7
krievs Baltija,7
Austrs Ungārija,7
Bukareste,7
šogad,7
notikt,7
Balkans,7
jauns,7
visa pagasts,7
Osolmuiža,7
Dažicaja,7
Kasdanga pagasts,7
Oranša,7
Jelgava guberņa,7
Zpānija,7
Kusa,7
Maskama,7
Grobiņa pagasts,7
Vocija,7
Verava,7
Drustiem,7
Baltkrievija,7
visa,7
Amerika sabiedrot Valstja,7
Saldus apgabals,7
Cēsis pilsēta,7
Riga šoseja,7
rio,7
Madagaskara,7
Vāczeme,7
arābs,7
Saka,7
Zentene,7
Bērsmuiža,7
Pēterburga guberņa,7
decembris,7
Lielaks,7
Tērpata,7
kopā,7
Āsriks,7
Austrija vācietis,7
asaris,7
Taganroga,7
Hongkonga,7
Austrs,7
Liel-Sesava pagasts,7
Aizpute pilsēta,7
Remte pagasts,7
Stopiņiem,7
Rundāle pagasts,7
Ndsonsģija,7
Osolnieks pagasts,7
Poltava guberņa,7
Ungārija valsts,7
Riaas,7
Aleksandrs iela,7
Drikss,7
Londone,7
Jēkabnieki,6
Umurga,6
Brests,6
Kursišs pagasts,6
Aderkaša pagasts,6
Jelgava stacija,6
Amerika Sabiedrotās,6
Inčukalns,6
auri pagasts,6
Kerča,6
Dags sala,6
Jelgava latvietis,6
Tadaiķi pagasts,6
Bauska pagasts,6
Ņučvangs,6
Eiropa Krievija,6
Esene,6
Rigaā,6
Krieroija,6
Mangaļs,6
Kalkūne,6
institūts,6
Jorka,6
apakšnams,6
Ruvjē,6
Godsjadana,6
Bebrene,6
Prode,6
Kurzeme pagasts,6
Grobiņa šoseja,6
Litene,6
Francija valsts,6
tverties guberņa,6
k. pagasts,6
Kurmene,6
Dalņija,6
latvietis pagasts,6
Iekš-Krieviju,6
Delkasē,6
Osaka,6
muiža,6
Prāga,6
Džūkste pagasts,6
salonikāt,6
Ārlava,6
Haiti sala,6
Mālupe,6
Jēkabmiests,6
Vents,6
Iekškrievija,6
Vasangoas,6
Sigulda pagasts,6
Pāle,6
Skrīveri pagasts,6
Irkutska,6
