GPE,count
krievs valsts,746
Jelgava,739
Rīga,451
Rīgē,227
Dobele,180
turks,177
pagasts,136
latvietis,132
krievs,128
Vāczeme,74
Baldone,68
Ēdole,62
Kandava,61
Priekule,50
Engure,48
Dobele pagasts,40
kur,40
Krecva valsts,40
Vērgale,39
Leiša,38
polis,38
Iecava,36
Ēdole pagasts,35
Vircava,35
Liepaja,34
Ārlava,29
vācietis,28
Zante pagasts,26
Vircava pagasts,25
Kuldiga,24
Krceva valsts,24
April,22
Piltene,22
Vagner,22
augusts,20
Lestene pagasts,20
Amerika,20
es,20
Mina,20
Jelgava pils,18
Bauska,18
Gulbene,18
Džūkste,17
Auce,17
Cīrava,16
Durbe,16
Zante,15
apriņķis,15
Kabile,15
Kalkūne,15
Baldone pagasts,15
Lestene,15
bikstīt,14
Varšava,14
Kuldiga apriņķis,14
Palange pagasts,14
Kuldīga,14
Rundāle,14
prūsis,14
Vārme,13
tatārs,13
Tukums,13
igaunis,13
kurzemnieks,13
Vilce,12
Vērgale pagasts,12
Jaunpils,12
Pēterburgs,12
Jaunauce pagasts,11
Mērsrags,11
Luttriņs pagasts,10
Cīrava pagasts,10
Rundāle pagasts,10
tiesa,10
IO,10
Kalnamuiža pagasts,10
Baznica,10
Kursišs,10
augt,9
Krierous valsts,9
Meyer,9
Vecsaule,9
Emburga pagasts,9
Tāši pagasts,9
Gulbene pagasts,8
Jaunpils pagasts,8
Tukume apriņķis,8
palangēties,8
Blīdene,8
Kalkūne pagasts,8
Pūre,8
muiža,8
Vilce pagasts,8
Kandava pagasts,8
Stende,8
Šauļs,8
Leišs,7
Bauska pagasts,7
Iecava pagasts,7
Vārme pagasts,7
Godiba,7
Konstantinopole,7
Pēterburge,7
miņa,7
Šķēde pagasts,7
vāci,7
Engure ciems,7
Palange,7
Ēģipte,7
meija,7
Itālija,7
Bērsmuiža,6
Jaunjelgava,6
Aizkraukle,6
Code,6
Zvārde,6
Krima,6
Pobuša pagasts,6
Rende,6
Rb,6
sāms,6
Gaiķi pagasts,6
Laidze,6
Pleskava,5
muižnieks,5
zviedrs,5
Jelgava apriņķis,5
Iecamas pagasts,5
Pienava pagasts,5
sala,5
minēt,5
Jaunauce,5
Roma,5
Pope,5
Tukumu,5
Kursišs pagasts,5
Laidze pagasts,5
Gaiķi,5
Aurumuiža pagasts,5
Kabile pagasts,5
šis,5
Subate,5
Vārve,5
Sloke,4
Alšvanga pagasts,4
Vērsmuiža pagasts,4
Priekule pagasts,4
Zlēkām,4
Platone,4
Aik,4
Bebrene,4
Matkule,4
Sabile,4
Ēdole Placce,4
Vecsaule pagasts,4
tā,4
Tiņģere pagasts,4
Stende pagasts,4
Grendše pagasts,4
Jaunjelgavu,4
Aīrava pagasts,4
Šķēde,4
Aīrava,4
Dobele apriņķis,4
Pope pagasts,4
Nerretas pagasts,4
Krote,4
Pols,4
Oglaine,4
turks valsts,3
Skrunda,3
Jaunaspils pagasts,3
Kristop,3
Zalde,3
Jēkabs Tuppiņ,3
Dundange,3
Valdišana,3
palangēties pagasts,3
Engure Jūrmala,3
Jaunjelgava apriņķis,3
Rokaišs pagasts,3
Jurris,3
Pēterburga,3
vanags,3
Pērnava,3
Bekerakrogs,3
Aizputte klosteris pagasts,3
Reds,3
Matkule pagasts,3
Dundanges pagasts,3
Veccsaule pagasts,3
Baussas pagasts,3
Miltiņu pagasts,3
zeme Matšs,3
muiža pagasts,3
Fircks,3
pasts,3
Vecmoka pagasts,3
Alšvanga,3
Pienava,3
Sauka,3
Veccauce pagasts,3
Odessa,3
Vāne,3
Rā,3
Bc,3
Gindul,3
Tume,3
Krieiva valsts,3
kurp,3
Bērsmuiža pagasts,3
Diģanava pagasts,3
Jlukste apriņķis,3
Linde pagasts,3
Jānus,3
polis valsts,3
Bručkus,3
Ugale pagasts,3
Code pagasts,3
Popcs pagasts,3
Dzērbene,3
Vevrara,3
Pūre pagasts,2
Clhrlava,2
pilskungs,2
Valka,2
Bārta,2
Ābelnieks,2
oktobris,2
Malta,2
Skrunde,2
Sessava,2
pa,2
krūklis,2
Vilgāle pagasts,2
Tāšu-Padure pagasts,2
Ziemad Janne,2
Staļģene,2
turks zeme,2
S S,2
slieka,2
Liega pagasts,2
Appriķes novads,2
Vilksala pagasts,2
Brinckman,2
sudrabs,2
Stelpe muiža,2
dzīvot,2
Ēdole muiža,2
vilna,2
Sasmake pagasts,2
Zūru pagasts,2
Frank-Sessava pagasts,2
Krīcburge,2
zviedrs valsts,2
Pecnava pagasts,2
zalve pagasts,2
sacīt,2
Bittešep Janne,2
tauta,2
Ordange pagasts,2
Lielas-Iecava pagasts,2
Kerklinge pagasts,2
valsts,2
ābece,2
Bauska apriņķis,2
viss,2
Grausde pagasts,2
g.,2
Vilksale pagasts,2
caur,2
Zake,2
Sēme,2
Krimun,2
Pastende,2
Tadaiķi,2
Jēkabamuiža,2
Bchrsmuiža pagasts,2
Šloke,2
tirgus,2
Zemite pagasts,2
slāvs,2
Pcrnava,2
Virga,2
Nīgrande,2
Polanga pagasts,2
Ugāle,2
rādīt,2
Januara,2
Ibts,2
Ugalcs pagasts,2
I2ta April,2
pote,2
Klaipēda,2
Fc,2
Kristits,2
Dieroa,2
Landzes,2
Klaipēds,2
Gubernemente,2
Engure novads,2
