GPE,count
Riga,4895
Krievija,4250
Vācija,3281
Jelgava,3080
Francija,1889
Turcija,1706
Pēterburga,1671
Anglija,1359
Austrija,1203
Beļģija,971
Bulgārija,897
Maskava,892
Itālija,850
Albānija,749
Londona,742
Roma,645
Polija,604
Ventspils,580
kars,578
Amerika,576
Rumānija,493
Latvija,482
Japāna,481
turks,477
Varšava,457
Somija,424
Tukums,403
Prūsija,396
Bauska,395
Grieķija,375
Pēterburgs,366
Baltija,315
Melnkalne,306
Meksika,303
Ungārija,292
Igaunija,291
Odesa,276
Valmiera,266
Ņujorka,248
Dobele,246
Vīne,243
Valka,235
Tokija,231
Kijeva,223
Rigs,222
Kauņa,221
Konstantinopole,219
Pekina,209
Stokholma,208
Berline,204
Rīga,203
Maķedonija,196
Serbija,195
Aizpute,192
Zosija,183
Cēsis,178
Liepaja,177
Portugāle,175
Grobiņa,166
Maroka,159
Bukareste,156
Ēģipte,146
svētdien,143
miņa,140
lietava,137
Dānija,137
Riga pilsēta,134
Balkans,133
Holande,131
pilsēta,130
Brisele,127
Kanāda,123
Petrograda,122
parisēt,120
Pleskava,119
atēna,115
Ilūkste,113
Vašingtona,113
Vitebska,112
Persijs,111
Indija,111
Kuldiga,109
baks,109
Indijas,109
kaunēties,108
Šveice,108
dona,107
Cēsīs,103
Persija,102
Alūksne,98
Kopenhāgena,98
Zerbija,97
Vilņs,96
es,96
Nīca,96
Galicija,96
Austrālija,94
krievs,92
pagasts,92
Riga apriņķis,92
Kauņa guberņa,90
Daugavpils,88
polis,87
Bordo,86
Lisabona,83
Bosnija,78
Krima,77
Harkova,76
Talsi,74
Berlīne,74
Ogre,73
Viļņa,72
Minska,71
sloka,70
Jaunjelgava,70
Harbina,69
Dundaga,66
Cēsis apriņķis,66
Orenburga,64
guberņa,64
Viborga,63
Šauļs,60
Sibirija,60
Hamburgs,59
Baldone,59
majors,59
Koknese,58
Spanija,58
Sevastopole,58
Madridē,58
Lielupis,57
Karpats,57
Leipciga,57
Zviedrija,56
viss,55
Talsu,55
Poltava,55
Parise,53
Kuldīga,53
Dignāja,52
Volga,52
Smiltene,52
Tukumu,51
Tukums apriņķis,51
Sigulda,51
Riga Jūrmala,51
osta,50
Grodņa,50
Terbata,50
Dobele apriņķis,49
Petrograds,49
Lubāna,49
Karpata,48
Mongolija,48
Vladivostoka,48
saratovēties,47
apriņķis,47
Kaira,47
Peterburga,47
Olaine,46
Atēna,46
Budapešta,46
kongress,45
dienvidi,45
Asija,45
Latgale,44
Mandšurija,44
Saldus,44
Vilande,44
Tomska,44
Emburga,43
Lieldiena,43
Odess,43
Belgrade,43
stacija,42
Ilūkste apriņķis,42
Malta,42
Vitebska guberņa,41
Turcija Osicials,41
Sosija,41
Austro-Ungarija,40
iv,40
Jaunpils,40
Ļvova,39
Koreja,39
Krievija valsts,39
Nereta,38
Priekule,38
Rucava,38
Grobiņa apriņķis,38
RR,38
Vologda,38
Visaugstaks,37
Hamburga,37
palangēties,37
Lejasciems,37
Ventspils apriņķis,37
Zmiedrija,37
vīns,36
Kandava,36
Antverpene,36
Gulbene,36
vakar,36
Krimūnu,36
Durbe,36
kur,35
Saloniks,34
salonikot,34
Zemgale,34
katolis,33
Auce,33
Stukmaņi,33
armija,33
Taškenta,32
Valka apriņķis,32
Vircava,32
Eleja,32
Jelgava pilsēta,32
Smoļenska,32
Valmiera apriņķis,31
Reimsa,30
Rauna,30
Niga,30
Bauska apriņķis,30
Orla,30
Madride,30
Aizpute apriņķis,30
Ļaudona,29
Daugava,29
Krakova,29
Saratova,29
karš,29
Svēte pagasts,29
Eleja pagasts,29
Auctro-Ungarijs,29
Dobele pagasts,28
sestdien,28
Aijeva,28
Tula,28
Verdena,27
Priekuļu,27
Urga,27
Stende,27
Piltene,27
Klaipēda,26
Belģija,26
Marija,26
Talsu apriņķis,26
Platone,26
majestāte,26
Marseļa,25
apgabals,25
Pārdaugava,25
ugunsgrēks,25
Rostova,25
Podgorica,25
Šanhaja,25
Lodza,25
Džūkste,24
Vjatka,24
Amsterdams,24
Nica,24
