VERB,count
būt,14753
tapt,5856
varēt,2564
pieteikties,2508
dot,1551
maksāt,1414
uzaicinatāt,1402
nākt,1273
tikt,1232
gribēt,1191
ņemt,1153
palikt,1150
spriest,1098
iet,1069
nolikt,1038
stāvēt,958
redzēt,850
dzīvot,816
dabūt,753
atstāt,752
sacīt,743
likt,717
top,683
atrast,612
klausīt,596
sagaidīt,589
pārdot,570
darrīt,533
saukt,521
patikt,508
atbildēt,485
teikt,432
appakšēt,430
uzsaukt,414
pieņemt,406
sākt,405
lūgt,399
meklēt,383
uzņemt,378
izdot,377
atnākt,374
nospriest,368
darrīts,360
ēst,357
notikt,356
mācīt,347
dzirdēt,341
mirt,326
deļāt,308
celties,303
prast,296
rakstīt,296
spēt,291
sirns,287
iziet,283
atdot,280
darrs,271
braukt,267
nodot,264
palīdzēt,264
maut,258
gulēt,254
celt,253
izteikt,246
taisīt,244
krist,242
turrēt,240
less,239
darra,225
spēcibēties,222
augt,219
pirkt,218
atlikt,217
pārradīt,215
uzaiciuatāt,214
rādīt,213
ciest,212
gaidīt,196
staigāt,196
aiziet,187
sanākt,187
beigt,182
saudēt,178
rādīties,178
raudāt,175
saccīt,175
glābt,174
saprast,173
stāstīt,170
trūkt,170
pamācišanāt,167
mīlēt,164
ielikt,162
pateikt,159
Kristus,156
pavīzsēt,151
runāt,151
pienākt,150
uzaicināt,148
dzimt,148
pieminēt,144
steigties,138
pateicibas,138
izlikt,136
klāt,136
doties,134
dziedāt,133
iecelt,133
degt,132
parādišanīt,132
spīdēt,131
kopt,130
atņemt,126
lūgties,125
klāties,125
nest,125
nosaukt,122
birt,122
strādāt,120
likties,120
izlaist,119
laulāt,119
parādīt,118
domāt,118
sasaukt,117
lassīt,116
iedot,116
aizmaksāt,116
uzdot,115
sēt,115
pielikt,115
slaukt,114
iesākt,113
deļīt,113
dzīt,113
paņemt,112
uzlikt,112
saņemt,110
valdīt,109
saccidēt,109
pierakstiti,108
pacelt,105
ienākt,104
vest,103
noiet,103
maldīt,103
gādāt,102
gribedams,101
mācēt,100
kalpot,100
mest,98
izglābt,98
kāpt,98
apmeklēt,97
līt,97
īgt,97
vīt,96
atronēt,96
izdoties,96
mīt,96
tulīt,95
mācīties,95
savadīt,94
pārnākt,93
uzturrāt,92
izņemt,92
pabeigt,92
izbēgt,92
aizmirst,91
minēt,91
rasties,90
beigties,90
aust,89
uziet,89
rāt,89
pavēlēt,87
izslēgt,87
atlaist,87
vērt,86
pļaut,86
izdarrīt,85
iespēt,84
pierādišanīt,83
dzert,83
turrēts,83
pāriet,83
pasīstēt,82
sargāt,82
beidzot,81
miet,80
pārtikt,79
piedot,79
pieklīst,79
laist,79
baudīt,78
gadīties,78
pierādīt,76
sūtīt,75
pattāt,74
saldatāt,74
darboties,74
pienākāt,74
raksts,73
cienīt,73
sniegt,73
pateicibēties,73
mist,73
jāt,73
mājot,73
ieiet,72
rūkt,72
vilt,71
bīties,71
atbraukt,71
padarrīt,70
aut,70
palangēties,70
iespiest,70
piederretāt,69
salikt,68
apklāt,68
peldēt,68
nokaut,67
pietikt,66
pelnīt,66
rakt,65
salt,64
piedzīvot,64
nomirt,64
uzlūkot,64
ticcēt,63
apstiprināt,63
paiet,63
maitāt,63
pārņemt,63
sludināt,63
tecēt,62
deļēties,62
pateicibu,62
panākt,61
brēkt,61
atsīt,61
posts,61
apkopt,60
liegties,60
rads,60
kristīt,59
