NOUN,count
gads,13086
zeme,9825
dievs,8377
kungs,7835
laiks,7743
diena,6433
lieta,6003
māja,5664
bērns,5323
darbs,5307
cilveks,4992
nauda,4933
tiesa,4910
pagasts,4815
ļaudis,4733
draudze,4711
skola,4602
vieta,4584
nams,4159
muiža,3727
mārds,3669
grāmata,3551
roka,3545
prūsis,3208
mācitajs,3086
gods,3051
miņs,2986
priekša,2947
baznica,2864
latvietis,2825
biedrība,2806
zirgs,2583
miņa,2494
draugs,2470
prāts,2421
prieks,2411
spēks,2390
miers,2277
sirds,2245
likums,2235
pusse,2201
tauta,2116
saimnieks,1988
dēls,1967
maksa,1966
padoms,1923
kuģis,1912
citts,1880
citta,1863
jūra,1806
rudzi,1798
lauks,1793
iela,1787
kronis,1785
Pēterburga,1781
puds,1780
lops,1777
siema,1764
vīrs,1753
zemnieks,1741
tirgus,1721
krievs,1712
sāls,1703
pasaule,1690
maldišana,1644
ūdens,1641
pilsēta,1636
gabals,1619
koks,1605
gals,1582
ceļš,1571
māte,1557
valsts,1531
apriņķis,1530
kalns,1501
amats,1500
pulks,1476
ķēniņš,1470
meita,1464
manta,1447
Amise,1435
nakts,1434
pilsats,1433
uguns,1432
palīgs,1398
brālis,1353
mala,1349
mīlestiba,1315
mīrs,1306
tēms,1301
kurrs,1298
Lins,1267
valdiba,1234
raksts,1230
kārta,1230
Keisers,1226
mēnesis,1215
tēma,1210
bēda,1200
karrs,1199
kāja,1199
dziesma,1184
dumpinieks,1178
rīts,1178
doma,1166
reize,1162
starpa,1160
turks,1143
Liepaja,1137
kopa,1133
polis,1131
miezis,1131
accis,1126
grēks,1107
minņs,1097
saldats,1096
Māczeme,1096
auglis,1092
biedrs,1090
daba,1088
vārds,1078
marrs,1072
miesa,1066
galms,1044
ēka,1041
Diems,1039
sēkla,1038
amišs,1030
labums,1022
garrs,1018
pils,1003
pūrs,1003
auss,993
mins,972
miņns,959
svētki,952
dakteris,947
zemis,925
Lutters,919
balss,915
gribeja,914
augusts,913
miets,913
kalps,910
būšana,908
gaiss,899
stunda,888
pēda,880
lūgšana,877
loceklis,877
sala,872
dumpis,854
dašs,853
masa,849
maloda,842
dzelse,842
maldinieks,830
iekša,822
amise,815
baznics,814
dmēsele,813
Ķeisers,809
ciems,804
dzīve,798
sams,796
debess,789
runa,788
šini,787
minēt,786
kurra,785
ienaidnieks,784
tabaka,779
skolmeisters,779
siena,771
skāde,767
smešs,764
māciba,764
nelaime,756
maiss,754
mērs,748
ticciba,747
Zprančs,737
laime,736
ratts,734
jauneklis,732
ministers,722
galma,708
dānis,704
nāme,702
Bībele,701
mīse,698
zelts,693
prettis,692
malka,681
gaušs,671
ārs,669
mešs,669
esss,668
muižnieks,665
bads,665
robeša,659
bilde,653
gubernija,652
mārda,652
Oktobers,649
franči,649
ceļļs,645
galds,638
vidus,636
ķeisars,634
šinis,625
augša,623
dzīviba,622
milti,619
malsts,611
vissionars,601
makars,594
rente,587
tāle,585
krogs,582
daļa,581
šīds,580
nieks,578
siems,572
svētdiena,572
lietus,568
kopt,566
rublis,566
patte,563
tūkstotis,562
