NOUN,count
gads,23332
kars,17255
laiks,12832
diena,11937
pilsēta,11073
miņa,10742
biedrība,10605
iela,9563
lieta,9085
darbs,9074
latvietis,8638
Riga,8030
zeme,7997
spēks,7312
miņs,7201
vieta,7052
valsts,6867
nauda,6792
nams,6204
pagasts,6204
tauta,6141
māja,6020
skola,5767
ceļš,5513
krievs,5418
policija,5337
puse,5145
bērns,5093
daļa,5058
vakars,4967
roka,4861
rīts,4798
ministrs,4741
cilveks,4737
strādnieks,4625
tiesa,4485
kuģis,4329
Pēterburga,4287
nodaļa,4244
valdiba,4220
biedrs,4217
augusts,4169
apgabals,4147
lauks,3918
baznica,3899
nakts,3889
šīds,3879
sapulce,3712
kungs,3646
guberņa,3630
marts,3554
dome,3513
rublis,3507
muiža,3435
armija,3426
turks,3375
mēnesis,3257
kauja,3206
zirgs,3151
jūra,3130
jautājums,3120
priekšnieks,3044
miers,3043
valoda,3015
pulks,2948
fabrika,2919
zemnieks,2899
apriņķis,2898
persona,2887
komisija,2884
gadijums,2805
ministrija,2764
maijs,2759
septembris,2739
oktobris,2734
dzelssceļs,2712
galms,2672
dzīve,2641
ienaidnieks,2610
svētki,2601
anglis,2574
cīņa,2556
draudze,2530
stāvoklis,2516
likums,2501
cietums,2473
uguns,2471
kurss,2431
gabals,2421
loceklis,2387
padome,2378
tiesiba,2359
amats,2323
telpa,2320
gals,2320
kārta,2295
grāmata,2288
uzbrukums,2274
majestāte,2273
skaits,2267
malde,2262
Liepaja,2257
dēls,2249
priekša,2245
šejiene,2245
franči,2233
māciba,2230
lops,2223
koks,2217
upe,2187
vārds,2160
ūdens,2149
gubernators,2119
laikraksts,2115
stunda,2108
gods,2106
sods,2068
ārsts,2065
mārds,2056
vāci,2051
komiteja,2048
februāris,2010
pamats,1980
reize,1956
stacija,1938
apstāklis,1891
mērs,1882
saimnieks,1880
kronis,1869
solis,1865
pils,1859
starpa,1857
māte,1853
karš,1851
raksts,1821
miljons,1813
polis,1796
iestāde,1793
tirgus,1785
nolūks,1783
doma,1765
siņa,1765
palīgs,1757
māciešs,1733
sams,1731
miets,1724
noteikums,1719
meitene,1714
osta,1713
lūgums,1696
decembris,1693
gaiss,1690
avīze,1690
runa,1689
siņs,1689
mala,1685
īpašnieks,1681
fronte,1675
lielgabals,1664
mācitajs,1662
darbiba,1655
jūnijs,1654
nedēļa,1651
prece,1643
acs,1634
ļaudis,1632
kase,1627
ģimene,1619
beigas,1607
balss,1597
sēde,1593
jūlijs,1585
projekts,1577
brālis,1574
ēka,1573
meita,1566
vīrs,1548
pasts,1537
cena,1537
sieviete,1536
koris,1509
austrietis,1508
banka,1506
valde,1503
leitis,1499
partija,1481
līdzeklis,1476
serbs,1471
sargs,1467
nelaime,1465
saturs,1463
ierēdnis,1460
sākums,1438
dievs,1425
notikums,1423
bulgārs,1412
dzīvoklis,1411
alga,1411
krasts,1390
pusdiena,1385
teātris,1376
šaī,1366
amise,1359
skolotājs,1358
lauksaimnieks,1347
janvāris,1342
siema,1340
lapa,1337
puds,1336
osiciers,1335
logs,1330
kalns,1326
barons,1322
mešs,1318
dašads,1312
kaps,1311
ķēniņš,1302
rajons,1301
grass,1288
students,1282
mīrs,1278
tuvums,1277
likumprojekts,1276
iemesls,1275
apkārtne,1274
vareja,1265
sāle,1254
trūkums,1252
ziņojums,1250
saruna,1247
sakars,1246
panākums,1243
ņo,1239
katolis,1237
krusts,1233
ore,1232
streiks,1230
vasara,1230
dašada,1218
draugs,1212
auglis,1209
satiksme,1207
izstāde,1198
pasaule,1196
tirdsnieciba,1195
iecirknis,1187
publika,1181
brīdis,1177
laime,1172
arests,1169
iespaids,1167
cietoksnis,1165
turiene,1162
zelts,1160
seja,1152
wiņs,1147
sirds,1143
manta,1139
krogs,1136
atbilde,1136
iztaba,1132
lauksaimnieciba,1122
prese,1112
ģenerālis,1110
kāja,1108
prieks,1096
pavēle,1093
slote,1089
kongress,1076
dziesma,1076
nodoklis,1073
numurs,1070
vēstnesis,1068
piens,1060
maksa,1056
masa,1056
austrumi,1046
direktors,1043
vidus,1043
dienests,1036
rats,1034
Parise,1029
sieva,1027
prāts,1014
interese,1009
vācietis,1000
tilts,1000
saudejums,999
kabata,992
līķis,988
suns,987
ugunsgrēks,986
sala,971
ierocis,967
sadursme,963
daba,960
nemiers,958
vērtiba,952
pabalsts,952
lielaks,951
upuris,949
pienākums,947
jubileja,944
vanags,939
gaisma,939
malka,936
pants,924
mērķis,921
igaunis,920
nieks,915
mašina,915
lietus,910
automobilis,907
pulka,906
Aleksandrs,902
ārzemes,901
drēbe,900
klase,900
robeša,896
galds,891
rīciba,891
robešs,887
aprindas,882
slimnics,879
acumirklis,878
aprilis,875
ticiba,873
mīlestiba,872
rinda,871
grieķis,869
pēdejs,867
spriedums,862
dievkalpošana,861
īpašums,856
briesmas,855
kārtiba,855
vecaks,849
redaktors,847
jauneklis,847
varetu,846
Saule,842
nāve,841
novembris,837
šāviens,832
rbļ,831
Petrograda,830
iekšlietas,828
gaita,827
gaļa,825
Ši,820
apgaismošana,819
presidents,816
kultūra,816
šana,815
tēma,809
līgums,809
inspektors,806
durmis,805
banda,805
priekšlikums,805
zemkopiba,803
atļauja,803
varets,802
Iekšceme,794
asins,792
kapitāls,791
karalis,790
ķeisars,789
lēmums,788
izrāde,785
baznics,783
artilērija,776
kundze,775
slimnica,774
Ārceme,770
siena,770
ordenis,769
gars,766
nelaiķis,765
koncerts,763
materiāls,763
meša,759
bumba,757
vīrietis,753
galva,753
aina,752
laupitajs,752
nodoms,750
lode,748
Berline,748
ledus,747
sādša,747
vilciens,746
telegrāss,742
nāme,741
māksla,739
politika,735
tendence,733
sudrabs,728
korpuss,723
pāreja,723
ciems,719
dokuments,713
siemiete,711
Andriems,710
gulta,702
zemste,699
birojs,694
ārlietas,691
budšets,689
dašs,688
linija,686
loma,685
augstums,685
sabiedriba,683
tirgotājs,683
si,682
deputāts,682
pārdošana,680
sums,679
māsa,678
iespēja,677
sēta,677
vadiba,676
alus,675
instruktors,674
sēns,674
Varšava,673
luga,673
mese,673
pēda,672
tēvs,671
milciens,670
parāds,667
zemišķs,666
mietejs,664
aģentūra,661
apgabaltiesa,660
wiņa,660
protokols,656
dzīviba,655
Londone,651
pārtika,649
Telegrama,646
kantoris,645
Pēterburgs,644
bars,643
tēms,643
rota,642
daudzums,642
acis,641
dims,640
mugura,635
piemērs,634
prāva,633
siemeļs,633
priekšstāvis,631
viesis,628
tūkstotis,626
princis,625
vienigs,623
muižnieks,622
svētdiena,621
gadījums,620
kolonija,617
darbinieks,617
apcietinats,617
kalps,616
kolonists,616
godalga,615
veikals,615
saldats,615
centrs,614
iemītnieks,609
domnieks,609
lopkopiba,608
pase,607
prasiba,606
akmens,605
Rigs,603
palāta,603
kurators,603
Lauksaimnieciba,601
Ķeisars,601
pavasaris,600
sevišks,599
suma,599
biļete,598
Osicials,595
majadzeja,595
labums,593
grupa,592
šoseja,592
Balkans,590
laukums,590
troksnis,589
puisis,589
Turcija,588
lielums,587
tautskola,586
suga,586
tiesibs,586
parlaments,585
arestants,585
ons,585
roks,582
labiba,581
doms,581
laiva,580
runāt,579
kreizers,577
mierigs,577
simts,577
plāns,573
agronoms,570
veids,569
liktenis,568
apcietinaja,567
piestātne,563
krājums,562
kandidāts,561
dzimtene,560
kaimiņš,558
kolera,557
rudzi,557
karogs,556
italiešs,556
dzēriens,555
sīme,555
mēģinajums,554
telegrama,553
sabiedribēties,553
miesa,551
turpinājums,550
būme,550
telegrams,550
mairaks,549
pilsonis,549
bailes,548
skolnieks,548
gariga,547
miertiesnesis,547
sestdiena,547
brauciens,547
stāveja,546
skats,545
nākotne,544
sīkums,543
mats,543
tvaikonis,542
kanāls,540
gūsteknis,539
pretinieks,539
priekšlasijums,538
Kuldiga,538
tiesnesis,538
spārns,538
piemineklis,538
kņass,537
bruņas,537
šīdi,536
tumsa,535
bas,535
cūka,535
aizdomas,535
saraksts,535
gājiens,534
paziņojums,534
punkts,533
majadzigs,533
uzraugs,533
ceriba,533
vēlešans,532
puķe,532
galma,531
mietnieks,531
Konstantinopole,530
sodits,529
eseris,526
klosteris,525
dalibnieks,521
bads,521
socialdemokrats,519
bibliotēka,518
pārskats,518
sūtnis,518
tara,518
klausiba,517
japānis,516
Zosija,516
mūšs,513
maiss,513
kājs,511
Zerbija,510
vēstule,510
Odesa,510
būve,509
ģimnasija,509
siems,509
mācibs,508
Valdiba,507
miestiņš,507
tronis,504
pulkstenis,504
Terbata,503
paskaidrojums,503
izdarija,503
viets,502
sekmes,501
wiņš,501
Keisars,501
uj,500
durvis,497
sastāvs,496
leja,495
sekretārs,495
maks,494
siola,494
patiešs,493
bauma,490
lūds,488
debates,488
rietrums,488
telesons,488
rūpnieciba,487
štaba,486
izmeklešana,485
nosaukums,484
vagons,484
austriete,483
kājnieks,483
kakls,482
redakcija,481
sakne,481
adrese,480
vēlešana,479
sniegs,477
slepenpolicija,477
dima,477
sauciens,476
priekšgals,476
kareimjs,476
sabiedribas,475
rēķins,474
stāvs,474
mainigs,472
minūte,470
kareivis,470
tautiba,469
sādziba,469
Prūsija,469
jumts,469
izmeklešanas,467
aizņēmums,467
posicija,466
mute,464
seka,463
biedrībs,463
Amise,462
paraugs,462
valdibs,461
cēlonis,461
apģērbs,460
masaks,459
vadonis,459
tmaikoņs,457
smejnieks,456
mārciņa,456
policists,455
cars,454
priekšmets,453
mīriešs,451
literatūra,449
vara,449
posts,449
albānis,449
pudele,448
lietošana,448
padoms,446
departaments,446
Marta,445
pulciņš,445
jautajums,445
meikals,444
delegāts,443
musika,443
izdevums,442
tums,442
procents,442
junija,441
aizmeda,440
kuriene,440
mēģinaja,437
malstis,434
rīkojums,432
slimnieks,431
lidotājs,430
prosesors,430
metrs,429
piekraste,428
dumpinieks,428
izrīkojums,427
stūris,426
ļaundaris,418
sēkla,418
Zaudejums,418
dumpis,417
statūts,416
Belgrade,416
negaiss,416
snieds,415
kalpone,411
komandieris,410
katorga,410
cilts,409
mēlešans,409
organisacija,408
krūms,408
kredits,407
jums,406
kalniņš,404
āboliņš,404
liecinieks,404
uzdevums,403
junijs,403
tēmija,403
institūts,401
Kurceme,400
laikmets,399
caurmērs,398
cepure,398
dāma,397
Bacnica,397
programa,397
bēglis,396
Visaugstaks,396
atlikums,396
ziema,395
auss,395
sars,394
mēlešana,394
dārss,394
kabinets,392
majadzibs,391
redzeja,391
ierīkošana,391
piemiņa,390
lote,390
trepes,390
rīcibs,390
izglītibas,389
asara,389
ienākums,388
lietava,388
vareta,386
v s,386
piekrišana,386
diemkalpošana,386
ideja,386
vienigi,385
priekšnieciba,385
Reizons,385
klubs,385
balle,385
raksturs,385
krūts,384
melnkalnietis,382
dsīve,381
gans,381
jātnieks,381
resorma,380
piederums,380
latgalietis,379
āda,379
plecs,379
ugunsdzēsejs,379
mūris,378
Vidceme,378
nometne,378
runātājs,378
alkools,377
darišana,377
parks,377
siedojums,377
Jānis,376
mērtiba,376
atklāšana,375
sāls,374
putns,374
zemis,374
apmērs,372
soms,372
Stolipins,372
burts,371
patiesiba,371
apspriešana,370
cirkulars,370
pārdotava,370
puisēns,370
šķūnis,369
dāvana,368
notiesaja,368
salms,368
klusums,365
rudens,365
aita,364
dabujušs,364
taī,364
ceļojums,363
zemgalietis,363
lins,362
spaids,361
milsigs,361
pirmāciba,361
akcija,360
amerikānis,360
merste,359
Daugama,359
dzis,358
komanda,358
debess,357
malsts,357
sekcija,356
Karlis,356
naids,355
dzelsceļs,355
produkts,355
protests,355
kratišana,354
pēds,353
atbildibas,353
ieņēmums,351
marka,351
šaubs,350
uzmara,349
zemišks,349
mass,349
korespondents,349
aģents,349
apvidus,348
palīdzibas,348
dzelss,348
pagrabs,348
wācs,347
ogle,347
Sibirija,347
bataljons,346
baterija,345
Zabiedriba,344
kaste,344
pieprasijumu,344
dārskopiba,344
padomnieks,343
pāris,343
zemkopis,343
pilsēts,343
iztabas,342
sajūsma,342
pārmaiņa,342
sūtijums,342
sērga,342
ceribs,340
jūtas,340
audzekņs,339
sins,338
ziemelis,337
plūdi,337
sekošs,336
prūsis,336
slola,336
eksāmens,336
slimiba,335
mielasts,335
augstskola,335
braucejs,335
republika,334
kartupelis,333
tornis,331
Austro-Ungarija,331
mešsargs,330
rašojums,329
uradņiks,328
mārda,328
mironis,327
pensija,326
darbibs,326
rīks,326
augums,326
soma,325
daliba,325
mēstule,325
izdarits,325
Šaī,324
krāsa,324
dambis,323
celšana,323
mēcums,323
sapnis,322
lelgava,322
madoņs,321
lūgšana,321
noliktava,321
vētra,320
pagalms,320
stabs,319
uztraukums,319
Vilņa,319
izdemums,318
aprīlis,318
konserence,318
renteja,318
pristavs,317
atsina,317
hercogs,316
senāts,315
viesnica,315
akts,315
kapsēta,315
miezis,315
sviests,315
pirksts,314
dems,314
apmeklētājs,313
Lielkņass,312
Baznica,311
brīms,310
dziedašana,310
hds,310
chs,309
remolmers,308
katedrāle,308
pelņa,308
simtenis,307
Daugava,307
stāsts,307
sāns,307
vējš,307
nasta,306
socialists,305
kreizs,305
Saeima,304
tīkls,303
ala,303
ēdiens,303
rakstnieks,303
skaņa,303
kauls,302
amišs,302
pārraugs,302
maša,302
tranšeja,301
uzņēmums,301
programs,301
Galicija,300
baronese,300
primāts,300
kanceleja,299
Lieldiena,298
malds,298
nosiegums,298
pieņemšana,298
Emilija,298
elements,297
sādzibs,297
vispārigs,297
Maskama,296
prokurors,296
mētelis,296
kauns,295
glābšana,295
ēna,294
tēvija,294
kapeika,294
sorts,294
pūles,294
peļņa,293
brīnums,292
meistars,292
mi,291
izdošana,291
vietejs,291
prēmija,290
seviški,289
svars,289
cels,289
