VERB,count
būt,71169
tikt,15298
varēt,10035
ziņot,9294
notikt,6770
iet,6652
atrast,6473
nākt,6180
sākt,6047
gribēt,5798
teikt,5168
palikt,4956
dot,4854
mācīt,4143
domāt,3711
atrasties,3705
pieņemt,3671
minēt,3650
dabūt,3362
nolemt,3082
redzēt,3016
atstāt,2978
paiet,2934
ierasties,2903
saukt,2780
krist,2747
iemainot,2683
likt,2680
ieņemt,2659
saņemt,2626
tapt,2615
sarīkot,2608
ņemt,2603
doties,2559
dzīvot,2510
braukt,2489
mirt,2425
nodot,2330
rakstīt,2329
stāvēt,2217
turpināt,2152
iemērot,2068
runāt,2061
sacīt,2039
atbildēt,2005
celt,1912
turēt,1902
noturēt,1869
nomirt,1777
uzbrukt,1773
izdot,1723
pienākt,1715
spēt,1663
lūgt,1655
maksāt,1637
sekot,1633
meklēt,1629
paziņot,1622
iecelt,1619
aizbraukt,1616
aiziet,1594
iespēt,1589
ciest,1588
apmeklēt,1584
darīt,1579
pārdot,1571
noteikt,1554
iznākt,1537
saprast,1535
iesniegt,1492
pāriet,1454
nogalināt,1453
gulēt,1452
iegūt,1431
atklāt,1379
atļaut,1331
nolikt,1329
māt,1321
apstiprināt,1280
ierīkot,1278
prasīt,1268
izteikt,1264
sagaidīt,1264
dienēt,1261
iesākt,1236
nest,1223
izņemt,1221
uzņemt,1221
nodomāt,1205
ievainot,1167
likties,1154
izdoties,1149
iziet,1138
beidzot,1133
trūkt,1118
pastāvēt,1094
piederēt,1073
izcelties,1062
pasīstēt,1060
ievērot,1060
atņemt,1052
gaidīt,1027
lietot,1021
ienākt,1020
izlietot,1005
aizbēgt,1004
jaut,995
beigt,984
mest,978
celties,967
piespriest,967
uzsākt,955
uzdot,952
prast,936
pavīzēt,901
paņemt,899
panākt,881
atkāpties,880
dzirdēt,879
sniegt,873
ieiet,869
dibināt,864
saldatāt,849
iedzīvotajāt,848
pasniegt,840
atsist,839
nodegt,835
draudēt,833
iestāties,828
slēgt,827
sākties,820
paskaidrot,815
aizliegt,796
darboties,796
sasniegt,789
skolot,786
vest,785
stāties,783
atlaist,777
nodibināt,776
augt,776
ieteikt,775
pārtraukt,773
rīkoties,773
spiest,746
spert,742
atlikt,733
atmest,719
apturēt,706
pateikties,703
piekrist,681
pacelt,679
iesaukt,678
uzsaukt,678
atbraukt,675
rasties,674
pirkt,672
atdot,672
stāstīt,666
just,656
pietikt,656
pieaugt,655
liet,655
sacelt,655
šaut,651
iemest,647
uzstāties,646
nošaut,643
piespiest,641
degt,638
sinēt,635
ievest,633
bēgt,632
iestāt,628
cerēt,628
iedzīvot,627
derēt,607
nodarboties,602
atskanēt,595
savienot,591
aizrādīt,589
attaisnot,586
ķert,585
laist,580
izbraukt,577
laulāt,571
uziet,567
drīkstēt,567
nokrist,565
kalpot,564
atsīt,562
aizmirst,561
mīt,560
nākties,558
atcelt,557
apspriest,549
izteikties,549
atnākt,549
mesties,547
šķira,544
ēst,537
izlaist,532
nogrimt,532
tirgot,530
ielēt,529
izrādijāt,523
uzņemties,519
strādāt,517
nobeigt,515
ticēt,515
sastapt,512
saslimt,509
pretoties,508
rādīt,501
glābt,496
ļaut,491
lasīt,490
pielaist,490
pieiet,485
izglābt,483
attiekties,482
raudzīties,475
atteikties,475
izdarīt,472
noslīkt,471
uzlikt,470
nopirkt,466
līt,465
nomest,462
uznākt,461
sadegt,460
patikt,460
nonākt,459
iebraukt,457
ķerties,456
apstāties,455
turēties,450
izmest,450
dzimt,448
miet,448
izšķirt,446
pielikt,446
mīlēt,445
sajust,444
iesākties,440
iegumt,440
pasašierāt,438
skatīties,437
izskaidrot,436
atnest,435
pamest,432
kopt,431
izbēgt,429
censties,426
paaugstināt,426
sastāvēt,423
pacelties,421
mākt,421
padoties,418
sināt,416
atjaunot,415
paturēt,415
dzert,414
sūtīt,414
aizmest,412
staigāt,408
lūkoties,407
savaksāt,407
pabeigt,406
liecināt,403
piedalijāt,403
sasaukt,402
sist,400
atvērt,397
pieciest,397
sniegties,395
apdraudēt,395
sabojāt,394
noņemt,388
šķirties,388
noiet,386
nosaukt,385
arestēt,384
palīdzibāt,383
piecelties,383
saimniecibēties,383
izpildīt,382
iesaukties,378
tuvoties,376
sakaut,375
aizvest,372
nomembrāt,370
jabūt,368
ņemties,366
izrādijāties,365
dzīt,365
lēkt,360
uzcelt,360
atgriesāt,360
nosist,359
pārnākt,358
skanēt,356
tecēt,354
steigties,354
jāt,351
uzlūkot,351
izlikties,348
vajadzēt,347
izdemāties,347
uztraukt,347
kārt,347
rakt,346
turpināties,344
bīties,344
raudāt,343
rīkot,343
dziedāt,340
beigties,340
konstatēt,339
apmesties,338
noderēt,338
