NOUN,count
tiesa,10627
pagasts,7996
gads,4616
diena,3658
muiža,3258
nauda,2784
tappe,2528
māja,2248
saimnieks,2105
sāls,1942
dievs,1870
laiks,1850
manta,1692
mēnesis,1679
kurrs,1667
zeme,1655
kungs,1628
pārradīt,1585
krievs,1435
zirgs,1405
lieta,1388
cilveks,1285
prassišana,1274
dev,1273
bērns,1256
valsts,1115
ļaudis,985
pavēlešanu,983
mucca,960
apriņķis,929
rudzu-milts,905
sludinašana,898
kronis,896
papīrs,882
vieta,870
lops,848
surte,821
starpa,812
rudzi,793
grāmata,790
skrīveris,788
darbs,771
pagasta-tiesas,743
vārds,738
gods,736
spriedums,719
prāts,711
maksa,704
pūrs,703
termins,683
draudze,678
baznica,672
likums,668
miezis,635
nams,627
miņa,623
tappis,621
auss,619
vīrs,609
papīre,602
lauks,602
ūdens,594
Godiba,593
roka,586
krogs,585
latvietis,568
lins,567
sēkla,561
saudešanas,561
tirgus,546
pods,540
avīze,529
trūkums,505
dēls,494
uguns,487
sudrabs,486
tabaka,484
zemnieks,483
grasis,480
koks,468
labaka,461
nakts,461
kviesis,460
sirds,456
dālderis,452
miņs,451
meija,434
prieks,430
jūra,428
citta,427
ceļš,416
nelaime,412
priešs,408
māte,400
meita,399
kurra,392
miežu-putraims,390
muccs,388
pusse,382
tēvs,381
draugs,372
vists,370
gals,364
siema,362
gabals,361
Patmaldinieka,361
raba,360
pilsats,360
reize,355
devejs,344
prasslšana,343
Tukume,342
meklešana,341
kimeņa,339
doma,338
Varrs,334
linu-sēkla,333
priekša,332
bīdeleta,330
citts,320
spēks,318
mārds,315
Aeiseriska,315
accis,313
kāja,312
pils,311
trs,311
puisis,311
dzelse,309
kviešu-milts,309
lda,308
kalns,308
valdišana,306
pulks,306
brālis,304
oktobris,304
rīts,300
miers,299
kaņeps,296
rublis,294
labiba,294
kārta,291
sviests,290
Citta,290
Papīre,290
vidus,289
tauta,287
esss,285
vista,283
raksts,276
Reizeriska,275
Oktobers,273
pasaule,272
ēka,269
Kuldiga,266
skola,265
Majestiete,265
masa,262
bēda,260
ota,260
Rīge,259
būšana,256
augusts,254
auglis,249
palike,248
laime,246
mācitajs,240
kaneps,239
godigs,238
mērs,236
strīveris,236
karrs,233
turks,233
daba,232
lāde,232
konkursis,224
mešs,222
August,222
amats,222
padoms,221
nau,221
nelaiks,220
decembris,219
vara,218
taī,218
vīkšns,216
sieva,214
demejs,214
Rubuli,212
dziesma,211
Mercs,211
mala,210
cittads,210
paligs,209
Zeptembris,208
izteikšana,206
šīds,205
Baznica,204
vakars,204
sīme,200
kalps,200
tappušs,198
pagasta-tiesa,198
Valdišana,197
miesa,197
Varra,196
ledus,196
sams,196
Jūni,191
vāci,190
Liepaja,189
nabags,188
kaņneps,186
kuģis,185
nieks,182
rente,181
Decembers,181
Saule,181
Pagasta-tiesas,180
siļķe,178
sirņs,178
cienigs,176
nomirrušs,175
atraitne,175
mīkla,173
placcis,173
jumts,172
ķirspēle,171
pulka,170
marrs,170
garrs,170
milti,168
Ši,167
ticcibs,167
malka,167
Vāczeme,165
nāve,165
iekša,163
uauda,162
maldišana,161
Pēterburge,161
šēligs,160
jūdze,160
prettis,160
izslēgšana,159
vietnieks,157
kirspēle,157
dā,157
sāce,157
pēda,157
suns,156
vinņs,155
lūgšana,155
buls,155
galva,155
arrente,154
nāce,152
Daugava,152
plosts,152
tra,152
Anss,151
sāle,151
puss,151
krasts,150
vareja,150
baznics,149
pilskungs,149
lappa,148
dašs,148
tilts,148
sts,147
stāveja,147
galds,145
valoda,145
Zeptembers,145
dienests,144
lietus,144
viņns,144
Gubernements,144
rakstita,144
mūšs,143
pagasta-tiesēties,141
turreja,141
grēks,141
amise,141
putns,140
Labiba,140
ssāde,139
gribeja,139
