NOUN,count
gads,22760
laiks,15426
darbs,13056
biedrība,12974
diena,12614
pilsēta,11388
pagasts,10836
nauda,10040
lieta,10037
Riga,9270
latvietis,9217
tauta,8743
zeme,8649
vieta,8486
krievs,8350
māja,8246
rublis,8171
kars,8054
miņa,7628
valsts,7535
nams,7467
puse,7415
iela,7370
daļa,7309
skola,6758
tiesa,6231
ceļš,6050
strādnieks,5945
bērns,5916
sapulce,5806
cilveks,5672
valdiba,5517
baznica,5509
persona,5209
laikraksts,5182
Pēterburga,5131
dome,5062
miņs,5048
policija,5003
jautājums,4895
vakars,4841
biedrs,4731
anglis,4671
roka,4668
spēks,4575
puds,4570
likums,4557
dzelsceļs,4526
zemnieks,4465
rīts,4449
nodaļa,4340
muiža,4274
kungs,4260
dzīve,4183
lauks,4163
šejiene,4073
draudze,3977
apriņķis,3961
siņa,3930
ministrs,3913
amats,3804
guberņa,3749
kuģis,3729
miers,3703
augusts,3703
valoda,3672
komisija,3636
vārds,3575
zirgs,3555
nakts,3466
fabrika,3440
tiesiba,3412
tirgus,3392
mēnesis,3386
būrs,3385
partija,3358
apgabals,3277
oktobris,3243
priekšnieks,3237
stāvoklis,3236
vāci,3227
sods,3216
gadijums,3208
ministrija,3160
loceklis,3107
Liepaja,3086
grāmata,3078
maijs,2952
iestāde,2924
saimnieks,2912
raksts,2910
gabals,2881
komiteja,2856
japānis,2766
marts,2729
mācitajs,2699
gals,2676
gods,2631
doma,2611
uguns,2599
pulks,2575
mārds,2542
ļaudis,2521
avīze,2502
ārsts,2425
pamats,2384
kurss,2375
māciba,2375
kronis,2352
septembris,2345
kārta,2337
skaits,2332
vīrs,2315
jūra,2313
palīgs,2300
uzbrukums,2281
starpa,2274
telpa,2269
svētki,2255
nodoklis,2247
nolūks,2233
majestāte,2225
reize,2135
ierēdnis,2133
darbiba,2126
stunda,2124
īpašnieks,2108
cena,2106
gubernators,2097
galms,2095
alga,2094
cīņa,2091
malde,2090
armija,2071
mērs,2062
sēde,2044
līdzeklis,2029
skolotājs,2027
projekts,2026
kauja,2016
nelaime,2014
cietums,2010
stacija,2005
kase,1995
dašads,1985
lūgums,1970
barons,1951
ēka,1949
padome,1929
koris,1904
dzīvoklis,1903
decembris,1896
februāris,1893
valde,1873
prece,1864
lops,1860
dziesma,1850
miljons,1842
dēls,1835
solis,1833
notikums,1832
students,1826
ziņojums,1811
balss,1803
šīds,1801
runa,1790
ūdens,1784
mīrs,1782
spriedums,1775
apstāklis,1769
ģenerālis,1766
nedēļa,1760
teātris,1738
sams,1689
pusdiena,1682
trūkums,1679
domnieks,1672
jūnijs,1670
nemiers,1659
Japaņs,1648
osta,1630
pasts,1625
koks,1622
janvāris,1617
beigas,1596
manta,1591
kārtiba,1589
jūlijs,1582
dievs,1564
upe,1561
numurs,1557
turiene,1547
ore,1546
pavēle,1516
ārzemes,1492
miets,1487
publika,1484
acs,1474
dašada,1472
mala,1469
māte,1468
atbilde,1467
līgums,1465
iemesls,1449
ierocis,1448
sākums,1445
laime,1442
vasara,1439
pasaule,1437
gaļa,1435
novembris,1434
siņs,1411
krogs,1410
siema,1409
vērtiba,1401
sirds,1393
ugunsgrēks,1390
priekšlikums,1390
vēlešana,1388
panākums,1368
tirdsnieciba,1367
ķēniņš,1360
lielaks,1345
satiksme,1334
gaiss,1332
priekša,1330
pienākums,1323
dašs,1321
dievkalpošana,1320
mērķis,1316
meita,1308
lielgabals,1307
iecirknis,1302
brālis,1299
draudse,1299
šāviens,1297
austrumi,1287
draugs,1278
kaps,1276
karš,1268
apkārtne,1264
iespaids,1259
izstāde,1257
bumba,1247
varetu,1243
logs,1237
zelts,1235
prāts,1232
mietnieks,1224
sieviete,1222
kāja,1217
summa,1216
maksa,1216
labums,1198
sāle,1195
pārtika,1190
arests,1189
labiba,1182
telegrama,1176
nāve,1162
presidents,1159
prieks,1158
varets,1156
