NOUN,count
gads,20766
laiks,15870
māja,14242
pagasts,12507
diena,10337
darbs,10148
biedrība,9467
zeme,9222
lieta,8506
pilsēta,8041
nauda,8012
vieta,7723
miņa,7149
bērns,7124
skola,6787
rublis,6719
cilveks,6247
kungs,6011
dievs,5928
ceļš,5918
daļa,5821
draudze,5598
latvietis,5586
puse,5314
tauta,5278
roka,5207
nams,5174
lauks,5141
zirgs,5057
baznica,5023
apriņķis,4937
tiesa,4744
miņs,4499
mācitajs,4269
puds,4183
vakars,3846
saimnieks,3812
rīts,3678
muiža,3626
dzīve,3598
mārds,3571
Riga,3514
ļaudis,3491
grāmata,3344
koks,3332
lops,3313
tirgus,3245
vārds,3244
māte,3221
amats,3219
apgabals,3088
Liepaja,3033
raksts,3021
miers,3008
spēks,3004
valoda,2917
kuģis,2870
nakts,2806
doma,2787
sirds,2735
iela,2727
siņa,2631
svētki,2599
guberņa,2597
kars,2589
augusts,2582
sapulce,2547
valdiba,2541
atbilde,2540
vīrs,2536
sams,2534
siema,2533
gabals,2529
krievs,2522
laikraksts,2505
biedrs,2498
dēls,2491
skolotājs,2485
gals,2468
pasaule,2451
maijs,2445
ūdens,2444
prāts,2426
krogs,2423
valsts,2409
auglis,2331
Pēterburga,2328
vāci,2309
mēnesis,2281
starpa,2265
gods,2239
prieks,2203
meita,2174
rudzi,2172
miets,2166
palīgs,2147
ēka,2136
dziesma,2092
laime,2081
draugs,2062
uguns,2052
jautājums,2038
šīds,2028
skaits,2014
mala,1990
likums,1989
acs,1943
dašs,1940
cena,1918
mērs,1881
loceklis,1881
lapa,1854
gaiss,1821
labums,1814
strādnieks,1803
manta,1803
jūra,1793
priekša,1780
labiba,1773
ārsts,1768
Varets,1765
nelaime,1765
draudse,1764
kārta,1746
alga,1667
nedēļa,1648
zemkopis,1645
notikums,1618
vasara,1617
kronis,1613
prece,1612
papīrs,1610
gars,1602
fabrika,1598
runa,1592
galms,1591
brālis,1581
ticiba,1556
zelts,1555
nodaļa,1553
persona,1544
šejiene,1542
zemnieks,1541
kurss,1541
mīlestiba,1539
kaps,1538
kāja,1536
februāris,1508
mīrs,1502
izstāde,1501
māciba,1497
upe,1489
stunda,1486
masa,1484
pamats,1481
koris,1468
tēms,1458
sāle,1452
anglis,1451
kalps,1444
priekšnieks,1443
sēkla,1438
vareja,1436
daba,1429
maksa,1427
balss,1422
iestāde,1411
mešs,1400
ārzemes,1391
malde,1385
malka,1373
kase,1370
pēda,1356
dašads,1353
trūkums,1344
zemkopiba,1340
osta,1335
jūnijs,1319
tiesiba,1315
sātiba,1313
miesa,1301
Dievakalpošana,1285
jūlijs,1281
vecaks,1268
barons,1264
rats,1261
tāle,1239
piemērs,1238
dzīviba,1237
iztaba,1230
lietus,1224
policeja,1216
meitene,1200
tēma,1196
stāds,1190
nelaiķis,1189
īpašnieks,1187
pusdiena,1182
līdzeklis,1182
pulks,1178
jauneklis,1170
sala,1169
partija,1154
summa,1141
numurs,1132
miezis,1130
nolūks,1123
bite,1118
padoms,1102
gaisma,1100
sods,1098
apkārtne,1097
