VERB,count
būt,111656
tikt,27477
varēt,20220
gribēt,14091
nākt,10110
palikt,9945
tapt,8976
iet,8301
minēt,7920
dabūt,7484
darīt,7314
dot,6971
notikt,6643
atrast,6470
sacīt,6223
redzēt,5590
sākt,5143
ņemt,4576
runāt,4240
teikt,4185
likt,4152
stāvēt,4145
dzīvot,3980
domāt,3936
turēt,3773
ziņot,3625
atstāt,3608
lūgt,3456
rakstīt,3402
saukt,3329
braukt,3251
atbildēt,3215
pārdot,3125
mirt,3052
dzirdēt,2925
iesākt,2880
spēt,2748
gulēt,2691
mīt,2656
aiziet,2651
iemērot,2532
meklēt,2484
pieņemt,2388
iziet,2292
mācīt,2276
ēst,2256
lasīt,2213
saprast,2146
trūkt,2113
pasniegt,2097
iespēt,2091
nomirt,2075
krist,2047
nolikt,2025
uzņemt,1990
augt,1987
saņemt,1969
apmeklēt,1961
atnākt,1881
maksāt,1867
noturēt,1823
atrodāt,1823
cerēt,1818
celt,1805
patikt,1791
skolot,1768
prast,1714
celties,1712
izdot,1665
-esot,1616
gaidīt,1615
paiet,1609
piederēt,1583
iecelt,1574
atrasties,1537
ievērot,1529
beigt,1516
padarīt,1504
pastāvēt,1497
ciest,1475
panākt,1474
doties,1470
iznākt,1467
pirkt,1460
izrīkot,1460
nodot,1443
ticēt,1423
kopt,1421
palīdzēt,1421
beidzot,1405
apstiprināt,1368
izdarīt,1349
strādāt,1347
ienākt,1346
prasīt,1314
derēt,1300
pierādīt,1293
pateikties,1250
nospriest,1237
izteikt,1227
nest,1217
nodegt,1195
izcelties,1185
aizbraukt,1185
mest,1184
ierasties,1182
drīkstēt,1139
pietikt,1117
dibināt,1107
steigties,1100
pavīzēt,1090
uzdot,1072
paņemt,1064
gādāt,1062
piedzīvot,1058
atbraukt,1051
pienākt,1051
pieminēt,1041
uzlūkot,1040
sēt,1035
staigāt,1023
taisīt,1022
likties,1005
pasīstēt,999
nonākt,998
stāstīt,993
izskaidrot,992
aplūkot,980
sniegt,978
laulāt,965
Kristus,959
iestāties,958
miet,951
raudāt,949
klausīt,949
rādīt,920
sināt,913
uzaicināt,910
uzaicinatāt,907
laist,901
dzīt,900
nosaukt,893
less,883
dziedāt,871
parādīt,871
dzert,858
aizmirst,853
izņemt,841
sasniegt,836
rādīties,835
izpildīt,834
beigties,832
atlaist,830
saķert,829
izdoties,820
pacelt,811
paganīt,808
atklāt,805
uzlikt,799
izglābt,798
sanākt,784
atskanēt,783
skanēt,781
atdot,776
pārnākt,773
manīt,769
pļaut,767
degt,759
spert,755
izlaist,750
atlikt,750
atmest,747
kalpot,737
uzsaukt,734
ieiet,734
iemest,732
atļaut,731
iesūtīt,726
pušķot,726
paturēt,721
sagaidīt,719
pāriet,719
pabeigt,716
sūtīt,710
izsaukt,710
pielikt,709
uzturēt,708
iesākties,690
paģērēt,688
uziet,684
atnest,681
stāties,679
glābt,679
pienest,676
lūkot,676
nodomāt,669
šķirties,667
spriest,660
iegūt,657
izsacīt,657
ierīkot,651
pieteikties,646
pretoties,642
ieņemt,638
ielikt,637
skatīties,635
atņemt,633
savienot,631
skriet,630
sinēt,625
atteikt,625
-esmāt,623
uznākt,610
nodarboties,609
lūkoties,603
iemainot,597
sadegt,596
paziņot,594
apkopt,589
liecināt,589
noteikt,588
rīt,584
atsīt,584
maldīt,582
uzbrukt,581
dzimt,581
ļaut,581
aizliegt,580
sniegties,569
siet,568
pārlabot,566
izlietāt,564
piedot,557
apstāties,554
kult,551
noņemt,550
nopirkt,550
sākties,547
mainīt,545
iesniegt,543
ausīties,542
-esāt,536
jaut,529
rasties,529
mēslot,526
saslimt,526
līt,525
vest,523
apņemties,519
pārbraukt,515
māt,513
saimniecibēties,509
piekrist,508
piesūtīt,506
tīri,504
aizgrābt,495
lūgties,494
sacidēt,492
palīdzibāt,491
saldatāt,491
sajust,487
uzticēt,483
spiest,478
nodrukāt,476
mācēt,474
izšķirt,473
nobraukt,470
atcelt,467
iekrist,467
deļīt,465
nobeigt,461
drukāt,461
draudēt,460
satikties,459
izglītot,456
slēgt,451
klāties,451
uzcelt,451
pelnīt,450
savaksāt,449
iemantot,449
noskumt,448
nokrist,447
