VERB,count
būt,29431
varēt,4634
iet,3868
gribēt,3370
dot,3061
nākt,2976
tapt,2924
palikt,2720
redzēt,2246
likt,1648
dzīvot,1557
sākt,1531
teikt,1477
sacīt,1468
tikt,1313
rakstīt,1223
stāvēt,1163
lūgt,1157
minēt,1130
dabūt,1123
darrīt,1079
Kristus,1028
mirt,1004
mācīt,959
atrast,941
atbildēt,930
dzirdēt,923
saukt,915
ņemt,909
less,887
taisīt,881
maksāt,870
appakšēt,864
pieteikties,827
atstāt,777
braukt,753
meklēt,750
atnākt,742
stāstīt,714
mīt,705
ēst,668
krist,661
celties,658
spēt,658
paganīt,607
patikt,606
staigāt,584
palīdzēt,582
celt,581
paņemt,576
aiziet,556
pateikt,547
augt,527
uzaicinatāt,514
notikt,512
darra,507
gaidīt,498
nolikt,498
rādīt,493
klausīt,492
saņemt,457
saprast,455
iziet,449
izdot,448
izteikt,434
prast,425
uzņemt,421
saldatāt,418
darboties,418
beigt,417
pirkt,409
pārdot,399
uziet,388
ciest,372
darrs,370
sanākt,363
kopt,362
lassīt,347
gulēt,346
rādīties,343
saccīt,340
trūkt,337
šaut,334
pieminēt,326
runāt,323
steigties,322
izglābt,318
iesākt,313
raudāt,313
turrēt,309
lūgties,302
dziedāt,297
pieņemt,289
degt,284
beidzot,283
sūtīt,281
iecelt,278
dzīt,278
kalpot,270
nosaukt,268
ielikt,267
miet,263
domāt,263
glābt,261
mājot,259
laist,254
mīlēt,253
skriet,250
sašaut,248
spīdēt,248
spriest,247
strādāt,245
nošaut,244
doties,244
top,237
gribedams,236
gādāt,235
nokaut,234
nospriest,230
uzturrāt,230
maldīt,229
taisīties,229
aizmirst,229
izdarrīt,222
dzert,222
izlaist,220
driķēt,219
essiet,219
mācēt,217
uzdot,216
apmeklēt,216
dzimt,214
nest,213
mācīties,210
marrot,210
mest,207
sataisīt,206
sludināt,203
apkopt,200
pielikt,196
nodot,196
parādīt,194
savadīt,194
beigties,193
brēkt,193
ticcēt,192
dienēt,192
atlaist,191
posts,189
saccidēt,188
pārnākt,188
likties,186
salikt,185
laulāt,180
iedot,180
pacelt,178
padarrīt,178
uzrādīt,177
drīkstēt,177
sēt,175
uzcelt,175
lūkot,175
kristīt,175
pabeigt,173
sarakstīt,172
uztaisīt,171
ja-iet,171
izdoties,171
cienīt,171
pļaut,168
atdot,167
paklausīt,166
šķīt,166
pateicibēties,165
jāt,165
aplūkot,164
bēgt,164
bīties,164
sagaidīt,164
vest,163
postīt,162
atlikt,162
pielūgt,161
izstāstīt,160
tūkt,159
dzīties,158
pietikt,156
piedot,156
atmest,155
pavīzsēt,155
klāt,152
rīt,151
pateicibas,151
klāties,150
pasargāt,149
rakt,148
darrīts,148
malt,148
ieiet,147
tīri,146
kalt,146
ienākt,144
salt,144
uzlikt,144
apstiprināt,144
izdzīt,144
lēkt,143
māt,142
kārot,141
pārradīt,139
atsīt,138
mākt,136
nobraukt,136
mainīt,136
pārtikt,135
papilēt,135
nodegt,135
ietaisīt,135
pateicibu,135
sakrāt,133
pasīstēt,132
iesiet,132
atronēt,132
paiet,131
kārt,131
piedzīvot,131
nomirt,131
iespēt,131
melst,131
gadīties,130
līt,130
aizdzīt,129
izbēgt,128
pienākt,128
pavēlēt,128
apklāt,128
baudīt,127
kāpt,127
pārtulkot,126
ļaut,125
pateicibāt,125
klausīties,125
apstāties,125
noslīkt,125
aizliegt,124
uzticcigāt,124
deļēties,123
appiņu,122
saldati,121
izcelties,119
rūkt,119
aust,119
nosist,118
kauties,118
pastāvēt,117
sadegt,116
ņemties,116
pildīt,116
sargāt,116
panākt,116
mist,115
noiet,114
mīļot,114
dzēst,114
rasties,113
maitāt,112
aicināt,112
apņemties,112
atrasties,111
iemainot,111
sākties,110
pestīt,110
marre,110
tecēt,110
nomaitāt,110
piedzimt,110
uzlūkot,109
pamācīt,109
stiprināt,108
līst,107
pieturrēt,106
nopirkt,106
apliecināt,106
siet,105
pacelties,105
apgaismot,105
pierakstišanas,104
Marrets,104
pierakstišanēties,103
sniegt,103
svētīt,102
audzināt,102
marrbūt,102
uzkrist,102
atņemt,101
paganu,101
deļāt,100
piesiet,100
nosūtīt,99
uzaicināt,99
izrādīt,99
vīt,98
marrāt,98
skanēt,98
izdemāties,98
aizbraukt,97
padoties,97
puškot,97
tulīt,96
pattāt,96
aut,95
liegt,95
kust,95
rāt,95
ticcs,95
ssāt,94
rads,94
dalīt,94
sināt,94
šēligāt,93
birt,93
raksts,93
izpuškot,92
iesaukties,92
deļīt,91
pasīstāt,90
stāt,90
cerrēt,90
izskattāt,90
melot,90
apēst,89
uzaugt,88
izsalkt,87
izaugt,87
pāriet,87
piesaukt,86
izņemt,86
iznākt,85
cirst,85
nomest,85
izgudrot,84
uzturrēt,84
vērt,84
uzkāpt,84
pelnīt,84
uzteikt,84
izrakt,84
iepriecināt,83
samest,83
manīt,83
uzņemties,82
izdemāt,82
apģērbt,81
ilgoties,81
savaldīt,81
sagrābt,81
glābties,81
izraut,80
iedzīvot,80
vilkt,80
dzenāt,79
sist,79
prassīt,79
uzsaukt,79
pārcelt,79
šķirties,79
uzstattīt,79
panest,78
izdodāt,78
peldēt,77
dods,77
sakaut,77
strāpe,76
iekrist,76
kaut,76
pierādišanīt,76
bij,76
pienākāt,76
savaitāt,76
izglābties,76
doda,76
jūgt,76
ierast,76
spiest,76
pieiet,75
pārtaisīt,75
paslēpt,75
nīkt,74
maut,74
sajaukt,74
atraut,74
aizbēgt,73
pilsāts,73
plūst,73
pārņemt,73
šēloties,72
rēķināt,72
palaist,72
dobt,72
pārlūkot,72
sēdēt,72
iztaisīt,72
mantot,71
iemantot,71
ieraudzīt,69
pie-iet,69
atnest,69
darrot,69
pamācišanāt,69
derrēt,69
piemest,69
no-iet,69
slēpt,68
pierādīt,68
pasniegt,68
skaitīt,68
sasiet,68
piepildīt,68
parisēt,68
apgādāt,67
uzaiciuatāt,66
iemest,66
velt,66
rakstijis,66
pierakstiti,66
apšēloties,66
smieties,66
dēt,65
uzticcēt,65
apsēsties,65
smēt,65
savienot,65
atkāpties,65
valdīt,65
piepalīdzēt,64
smelt,64
nosalt,64
piebraukt,64
pasaul',64
raudzīt,64
taupīt,64
izliet,64
ļaunoties,64
apnikt,64
nocirst,64
apstiprinatīt,64
sprāgt,64
draudēt,63
mocīt,63
noskumt,63
bērt,63
pakārt,63
nogrimt,63
pilsāt,63
aizslēgt,62
jaut,62
raidīt,62
izsaukt,62
Mains,62
sāpēt,62
liegties,62
pateikties,62
satvāt,61
nopelnīt,61
nomanīt,61
izsaukties,61
padarrijušāt,61
noņemt,61
piekļūt,60
iebraukt,60
raut,59
atradisāt,59
atbraukt,59
eijot,58
atspīdēt,58
iznīkt,58
samīt,58
teikties,58
izdalīt,58
līdzēt,58
satikties,58
pietrūkt,58
barrot,57
aprakt,57
pakalt,57
nošēlot,57
sabiedroties,57
nonākt,57
dancot,57
stāties,57
parādīties,57
pārbraukt,57
iedzīvotajāt,57
paturrēt,57
šķist,57
aiznest,56
parist,56
dusmoties,56
piedzert,56
krāt,56
mau,56
iztikt,56
izsludināt,55
svērt,55
sakrāties,55
marrēt,55
ievest,55
nopostīt,55
iespiest,54
atskanēt,54
parādišanīt,54
atmaksāt,54
patti,53
aiztikt,53
pasmieties,53
aprīt,53
sakēt,53
palicejēties,53
aizmest,53
locīt,53
pieminetēt,52
ciets,52
izmācīt,52
kliegt,52
pakārties,52
glabāt,52
ievainot,52
atpakalt,52
cept,52
eimot,52
izbraukt,52
ielaist,52
uzturredēties,51
uzaicinati,51
dzelt,51
uzticcigi,51
saukties,51
pilēt,51
atminēt,51
pievest,51
vara,51
izstiept,50
liet,50
piestāties,50
nolaist,50
uzmarrēt,50
īgt,50
atgriešāt,49
pamest,49
jaust,49
trīcēt,49
apsargāt,49
ierauga,49
modināt,49
jautāt,49
atteikt,49
Tēklāt,49
atstāties,49
iesākties,49
izmest,48
jumt,48
Minu,48
nokrist,48
karrot,48
rast,48
pakustināt,48
noskriet,48
preccēt,48
nopūsties,48
saskriet,48
sildīt,48
mierināt,48
noplēst,48
apgrēkoties,48
mielot,48
tulkot,47
piekodināt,47
apdomāt,47
izlūgties,47
plēst,47
noprast,47
lassāt,47
pūst,47
apsmiet,47
apdomajāt,47
sodīt,47
ausīties,47
kaitēt,46
dzīmot,46
grēkot,46
pienākīties,46
šēlot,46
patiesibas,46
ielīst,46
laupīt,46
aizņemt,46
sarkauēties,46
pelēt,46
sagādāt,46
vaidēt,46
gattams,45
izpostīt,45
drukēt,45
nedeļu,45
bīdamies,45
kāst,45
izsēt,45
parādišanas,45
sadedzināt,45
ticcāt,44
lādēt,44
apstelēt,44
appīt,44
apspiest,44
kustināt,44
nostāties,44
izslattāt,44
pieteikt,44
saķert,44
nobeigt,44
atgriesāties,44
apkampt,44
uzskriet,44
dīgt,44
aplaimot,43
tīt,43
pieskriet,43
godāt,43
pataisīt,43
piekrāpt,43
radīt,43
ieraudzijis,43
slavēt,43
aizskriet,42
Marrot,42
aizmaksāt,42
maijagot,42
nāt,42
izrādīties,42
pārmācīt,42
grimt,42
drebēt,42
izgresnot,42
pieklāties,42
ticēt,42
piešķirt,41
lūdzu,41
dusēt,41
izlikt,41
slamēt,41
sust,41
kult,41
atrodāt,41
jukt,41
izciest,41
mukt,40
pārkāpt,40
apsegt,40
sabīties,40
pūleties,40
just,40
apmettušāties,40
malties,40
ierādīt,40
turrot,40
sudīt,40
smaidīt,40
apmettāt,40
vemt,39
sinot,39
iemācīt,39
aizstāvēt,39
pasludināt,39
dibināt,39
apsolīt,39
ieņemt,39
atsūtīt,39
nonīkt,39
kost,39
piemirst,39
apslēpt,39
vilt,39
medot,38
Italias,38
iemērot,38
sniegs,38
kurnēt,38
sabūt,38
piekust,38
izklīst,38
atskriet,38
krittīt,38
pieturrejušāt,38
panēmušāt,38
šas,38
paspēt,38
pārlikt,38
satikt,38
atšķirt,37
grūt,37
gailēt,37
Marrbūt,37
uznākt,37
uzrakstīt,37
pieminetāt,37
noķert,37
uam,37
izcirst,37
satriekt,37
šķirt,37
liecināt,37
pūt,36
mairoties,36
pasudušāt,36
izstāstišanāt,36
atlīdzināt,36
brīnīties,36
piederrigu,36
taisās,36
paļauties,36
apņemt,36
iesmētīt,36
pārbīties,36
grabināt,36
turrēts,36
izmeklēt,36
aizsūtīt,36
iejūgt,36
pūlejies,36
izmaksāt,36
pierakstīt,36
novest,36
redzets,35
spiesties,35
paslēpties,35
minu,35
pamācišanu,35
derēt,35
marrešot,35
paciest,35
patiesibēties,35
apkaut,35
atpūsties,35
vadīt,35
karsēt,35
apcietināt,35
gaismot,35
izskattijāt,35
lassot,35
izšķirt,35
nomirrušāt,35
noticcāties,35
uzticcibāt,35
nodzīvot,35
mēlēt,34
ierakt,34
padodāt,34
