VERB,count
būt,70675
tikt,22605
ziņot,15811
varēt,15318
nākt,6454
atrast,6401
gribēt,6294
notikt,6034
iet,5623
palikt,5466
dot,5425
sākt,5248
minēt,4076
dabūt,3883
domāt,3865
ņemt,3519
tapt,3473
likt,3272
dzīvot,3258
nolemt,3130
paiet,3128
pieņemt,3095
mirt,3055
krist,2958
atstāt,2948
iemērot,2943
redzēt,2862
sacīt,2814
stāvēt,2730
rakstīt,2700
izdot,2531
nodot,2476
teikt,2442
saukt,2389
maksāt,2358
iemainot,2346
braukt,2282
atrasties,2257
iespēt,2213
noturēt,2103
ierasties,2092
turēt,2067
iecelt,2064
celt,2061
sarīkot,2026
uzbrukt,1985
runāt,1977
saņemt,1971
ievērot,1922
ievainot,1881
iznākt,1875
saprast,1853
pienākt,1766
iesniegt,1684
ieņemt,1667
doties,1663
spēt,1627
pavīzēt,1605
darīt,1574
aiziet,1564
pārdot,1554
meklēt,1540
nodomāt,1538
trūkt,1536
nolikt,1527
apstiprināt,1524
apmeklēt,1510
ierīkot,1506
atļaut,1481
ienākt,1476
noteikt,1470
lūgt,1465
uzņemt,1457
beigt,1453
pasīstēt,1409
nomirt,1386
izlietot,1379
pastāvēt,1377
dibināt,1376
nest,1373
nošaut,1365
izdoties,1364
paziņot,1353
sagaidīt,1351
izcelties,1331
prasīt,1272
atrodāt,1264
pasniegt,1262
gulēt,1246
iziet,1226
mest,1209
atbildēt,1186
izteikt,1182
sekot,1179
pāriet,1178
piederēt,1173
saldatāt,1173
iegūt,1161
vest,1149
dzirdēt,1147
lietot,1140
uzsaukt,1136
atcelt,1130
nodibināt,1120
atklāt,1115
izņemt,1115
ciest,1088
atņemt,1085
uzdot,1081
rīkoties,1078
iedzīvotajāt,1078
panākt,1042
skolot,1035
prast,1033
uzsākt,1033
atlikt,1011
šaut,1001
iesākt,999
gaidīt,990
atlaist,988
turpināt,988
aizbraukt,962
celties,938
stāties,914
nogalināt,871
draudēt,861
izskaidrot,861
beidzot,860
iedzīvot,846
laulāt,838
derēt,832
cerēt,831
izlaist,829
iemest,829
drīkstēt,807
pirkt,805
sasniegt,798
savienot,794
ieteikt,794
izšķirt,786
ievest,785
spert,785
sniegt,780
sākties,779
piespiest,776
atdot,770
pietikt,761
aizliegt,757
ieiet,750
iestāt,745
aizbēgt,744
iestāties,723
lasīt,723
mīt,723
sacelt,717
nodegt,714
šķira,704
slēgt,685
nodarboties,679
strādāt,678
apturēt,677
līt,673
piekrist,673
pieaugt,673
paņemt,668
apspriest,660
pieciest,654
atmest,652
dzert,652
augt,652
pacelt,650
atbraukt,647
atsīt,630
bēgt,627
ļaut,625
uzlikt,625
rasties,620
aizslēgt,620
sinēt,619
darboties,616
sastapt,614
attaisnot,601
laist,598
atnākt,598
nodrukāt,595
kalpot,593
izbēgt,586
pateikties,586
paaugstināt,586
atkāpties,586
ticēt,583
aizrādīt,578
palīdzibāt,575
uziet,562
aizmirst,554
skatīties,552
nobeigt,552
ēst,551
izrādijāt,547
attiekties,542
sabojāt,541
degt,536
dzimt,536
tīri,534
patikt,529
savaksāt,528
atnest,528
pārtraukt,526
kopt,526
izdemāties,521
sanākt,517
rādīt,516
izteikties,509
nākties,509
liecināt,503
sastāvēt,496
valdīt,495
sajust,494
piešķirt,482
apbruņot,482
ķerties,480
saslimt,474
izsacīt,471
izdarīt,471
nomest,468
spriest,468
nonākt,456
pielikt,450
māt,447
izpildīt,446
izglītot,445
šķirties,444
arestēt,444
ķert,442
sasaukt,441
izšaut,439
novērst,437
uzņemties,436
piespriest,433
aplūkot,428
tecēt,428
izbraukt,428
izmest,426
dziedāt,426
likties,425
tirgot,424
izrādijāties,424
paturēt,422
spiest,420
sadegt,415
apdraudēt,413
izglābt,412
uzstāties,407
maldīt,404
pielaist,404
nopirkt,403
velties,402
pierādīt,400
vajadzēt,399
beigties,397
balsot,396
saķert,392
atvērt,390
noderēt,389
miet,389
dienēt,383
pabeigt,379
glābt,377
uzcelt,376
pieiet,374
apcietinēt,373
dzīt,372
lēkt,371
mācīt,371
krāt,371
drukāt,370
staigāt,370
pelnīt,368
parādīties,368
nosaukt,367
nogrimt,365
piedzīvot,364
iesākties,364
izrīkot,363
atskanēt,362
izrādīties,360
pretoties,360
nosīmāt,358
pārmest,356
uztraukt,354
censties,353
noslīkt,352
nosacīt,351
nokrist,349
uznākt,349
paskaidrot,348
izglītibāt,347
piedalitāties,346
atsist,345
izvest,344
aprobešot,344
pasašierāt,343
stāstīt,342
saldati,340
piedalīties,340
turpināties,339
sniegties,338
saimniecibēties,334
nospriest,332
pieteikties,331
apsargāt,331
atjaunot,331
aizvest,331
noslēgt,331
nosist,330
noņemt,330
vienoties,330
iebraukt,329
atteikties,328
rādīties,327
ņemties,326
jabūt,324
mainīt,324
sēt,322
pabalstīt,321
pabalsts,320
uzticibāt,318
palīdzēt,317
atsaukt,316
aust,315
parādijāt,315
nokārtot,315
noiet,311
iedzīvotaji,311
padarīt,309
lūkot,307
padoties,307
nokaut,307
pamasēt,304
savadīt,304
nomembrāt,302
apstāties,300
padot,300
apbruņoties,299
iedzīvotaju,299
skanēt,299
piedalijāt,299
marot,298
aizmest,296
izziņot,296
ievietot,296
sabiedrot,295
manīt,294
savākt,293
lūkoties,292
kost,292
apmierināt,292
jāt,291
paspēt,291
iztikt,290
pastiprināt,290
iesaukt,289
sadragāt,288
just,285
izlikt,284
nobraukt,283
iegumt,282
sabiedribāt,282
tuvoties,282
sprāgt,281
noliegt,280
paredzēt,278
piekopt,276
peldēt,273
pievienoties,273
saimniecibāt,273
pieminēt,272
kaut,271
uzturēties,270
apmainot,270
uzaicināt,270
tēlot,269
uzturēt,268
saimniecibas,267
mēties,266
sūtīt,265
segt,265
izturešanot,263
pacelties,263
aizstāvēt,261
ielikt,260
izcelt,260
skriet,260
izsaukt,259
iebrukt,259
karot,259
posts,257
varetāt,256
sēdēt,256
pārbraukt,255
apspiest,255
liet,254
sināt,254
pārcelt,254
palīdzibu,254
mesties,252
palaist,251
apgaismot,249
šķist,249
uzticēt,247
raksts,247
atraidīt,247
turēties,247
kalt,247
apvainot,247
jaukt,245
sēde,244
samest,244
papildināt,243
liegt,242
sagatavot,239
