VERB,count
būt,16580
varēt,2788
tapt,1988
dot,1564
nākt,1464
iet,1426
pieteikties,1349
palikt,1285
uzaicinatāt,1239
gribēt,1231
likt,1073
tikt,947
maksāt,945
redzēt,927
spriest,909
ņemt,878
sacīt,868
dzīvot,852
klausīt,820
atbildēt,802
dabūt,704
atstāt,647
darrīt,638
nolikt,635
atrast,580
stāvēt,524
teikt,481
lūgt,447
mirt,437
patikt,432
ēst,412
dzirdēt,395
saukt,388
sākt,384
less,365
meklēt,362
appakšēt,361
top,358
rakstīt,346
mācīt,344
aiziet,330
pārdot,328
lūgties,317
palīdzēt,311
raudāt,309
celties,306
darrs,293
celt,292
braukt,291
krist,286
spēt,281
pirkt,278
staigāt,271
sagaidīt,271
beigt,266
iziet,265
saccīt,260
atnākt,250
gaidīt,247
prast,246
Kristus,246
sirns,245
runāt,245
uzņemt,238
darra,235
radīt,233
augt,232
darrīts,222
saprast,220
notikt,217
atdot,213
uzdot,210
deļāt,209
pavīzsēt,205
turrēt,201
izdot,197
ciest,192
nodot,191
mīt,190
steigties,189
izteikt,189
gulēt,188
sanākt,186
pārradīt,185
mīlēt,178
iedot,174
paganīt,173
pieminēt,171
rādīt,171
pieņemt,167
nest,167
trūkt,166
stāstīt,161
domāt,160
iecelt,156
dzert,156
laist,154
dziedāt,153
laulāt,151
iesākt,151
taisīt,150
saņemt,147
izlikt,146
uzaicināt,143
lassīt,143
beidzot,141
strādāt,141
nospriest,139
saccidēt,139
doties,138
ielikt,137
glābt,137
maut,135
apņemties,133
pateikt,131
atņemt,131
aizmirst,129
kopt,129
ienākt,124
vīt,122
atlikt,122
rādīties,121
savadīt,120
pierādišanīt,119
uzturrāt,118
pierādīt,117
piedot,117
klāties,117
apmeklēt,117
minēt,116
uzlikt,115
pacelt,114
dzīt,113
vest,109
dzimt,108
parādīt,106
sēt,105
miet,105
pielikt,104
paņemt,104
izlaist,104
likties,104
pienākt,103
gribedams,102
pamācišanāt,101
pļaut,100
klāt,100
pārnākt,99
sūtīt,99
noiet,99
nokaut,99
ņemties,99
salikt,97
līt,97
spīdēt,96
ļaut,96
degt,94
kalpot,94
jaut,93
mest,92
uzaiciuatāt,92
jāt,92
izdoties,91
aizmaksāt,91
pārtikt,91
mācēt,90
essiet,89
paklausīt,89
izdarrīt,89
lūkot,89
apkopt,88
