VERB,count
būt,80284
tikt,17691
varēt,14425
gribēt,8682
tapt,8501
iet,6669
nākt,6539
palikt,5554
minēt,5363
atrast,5140
sākt,4952
dabūt,4663
dot,4624
notikt,4603
atstāt,3960
sacīt,3673
domāt,3667
iziet,3407
dzīvot,3207
braukt,3084
mirt,3014
redzēt,2969
teikt,2955
ņemt,2755
ziņot,2667
turēt,2555
pārdot,2496
maksāt,2469
saukt,2444
darīt,2401
stāvēt,2396
likt,2388
runāt,2190
spēt,2068
iemērot,2061
atrodāt,1996
paiet,1919
aiziet,1909
dzirdēt,1781
mīt,1775
nomirt,1766
meklēt,1756
rakstīt,1745
atbildēt,1712
iespēt,1707
gulēt,1706
celt,1686
krist,1683
lūgt,1654
ēst,1634
trūkt,1621
apmeklēt,1596
nonākt,1587
saprast,1510
skolot,1478
atrasties,1407
iesākt,1399
izdot,1398
saņemt,1374
doties,1365
iznākt,1342
noturēt,1337
ievērot,1310
patikt,1251
pieņemt,1246
uzņemt,1240
sasniegt,1223
prast,1222
celties,1209
augt,1184
iecelt,1176
uzsaukt,1140
atnākt,1117
dibināt,1109
pirkt,1102
derēt,1102
pasniegt,1091
beidzot,1089
nodot,1074
rīkoties,1071
lasīt,1068
gaidīt,1061
izbraukt,1053
izrīkot,1052
pastāvēt,1041
piederēt,1033
beigt,1017
ierīkot,1012
ienākt,988
pasīstēt,985
prasīt,978
cerēt,975
nolikt,969
apstiprināt,935
mest,934
ierasties,914
-esot,907
izcelties,903
izskaidrot,892
ieņemt,879
ieiet,879
ciest,875
nolemt,834
pietikt,830
panākt,827
aizbraukt,818
nest,814
nodomāt,809
kopt,807
pavīzēt,805
pienākt,798
saslimt,798
padarīt,794
sākties,790
paņemt,776
piedzīvot,770
dzert,757
ticēt,753
iegūt,744
atbraukt,743
izņemt,742
atlaist,709
pacelt,692
atmest,689
staigāt,683
uam,676
savaksāt,671
drīkstēt,670
aplūkot,657
atklāt,650
nodegt,648
noteikt,642
strādāt,636
kalpot,633
atdot,624
uzdot,622
pateikties,616
steigties,616
atļaut,615
dzīt,613
izteikt,612
aizmirst,610
pāriet,609
iestāties,608
miet,605
uzbrukt,603
nodarboties,603
palīdzēt,600
beigties,589
paziņot,578
rādīties,578
sagaidīt,576
izlaist,572
mācīt,572
atnest,570
atlikt,569
jautāt,568
stāties,566
sarīkot,564
līt,559
skanēt,556
sniegt,556
tīri,549
izdoties,547
savienot,545
nosaukt,545
degt,544
rādīt,538
izglābt,533
dzimt,521
sajust,520
likties,519
atskanēt,518
sanākt,513
lūkoties,505
stāstīt,503
laist,503
sēt,503
laulāt,499
ļaut,498
sināt,494
atņemt,493
dziedāt,491
uznākt,491
saķert,491
turpināt,490
uziet,484
pārnākt,483
ausīties,479
slēgt,479
pierādīt,477
raudāt,476
skatīties,475
pabeigt,471
uzsākt,470
lūdzu,462
iedzīvotajāt,462
palīdzibāt,459
Kristus,458
paturēt,457
spert,453
uzlūkot,451
atsīt,447
aizliegt,442
draudēt,442
noderēt,432
tulkot,427
nopirkt,426
māt,425
nospriest,425
sacelt,422
kustināt,422
sastapt,422
vest,421
izglītot,421
sadegt,413
glābt,408
izlietot,405
lūkot,405
iemest,404
aust,403
nodrukāt,399
less,397
iesākties,397
mainīt,397
skriet,396
rasties,396
uzcelt,395
pielikt,393
apkopt,393
nokrist,391
parādīties,390
pacelties,388
piespiest,386
atcelt,384
izrādijāt,383
savadīt,380
izlietēt,379
siet,376
pieminēt,376
uzlikt,369
sinēt,369
pretoties,368
iemainot,367
ieteikt,361
pārbraukt,361
piekrist,359
maldīt,357
nobeigt,356
iekrist,356
sniegties,356
pelnīt,355
atkāpties,355
noņemt,355
peldēt,355
ielikt,353
pateikt,352
manīt,351
pamasēt,349
jaut,345
izšķirt,345
saimniecibēties,343
ievest,342
šķirties,341
iedzīvot,338
apstāties,335
mantot,333
pļaut,333
-esmāt,331
noslīkt,328
sastāvēt,325
varetāt,321
krāt,320
nākties,318
salīgt,318
rīt,316
sekot,316
tirgot,314
darboties,314
izdarīt,312
drukāt,308
-esāt,308
izmest,307
iztikt,306
ceļot,306
pārlabot,303
saldatāt,302
jaukt,301
izdemāties,301
kult,300
piederigēties,300
paganīt,300
izskatīties,300
atrodīties,296
noiet,295
jāt,295
spriest,294
gādāt,293
rūkt,292
malt,292
taisīt,291
nomest,291
nodibināt,289
kāpt,288
iesniegt,287
izpildīt,287
iebraukt,286
nosist,283
sacidēt,282
šaut,281
atvērt,280
