VERB,count
būt,10081
tapt,5286
varēt,2274
pieteikties,1569
nolikt,1379
maksāt,1284
dot,1145
nākt,1002
gribēt,972
ņemt,951
spriest,944
stāvēt,889
iet,828
palikt,786
dabūt,743
sagaidīt,680
appakšēt,669
tikt,628
likt,616
dzīvot,593
atrast,565
pārdot,510
redzēt,495
saukt,484
nodot,477
sacīt,433
atkalt,418
darrīt,395
dzirdēt,391
atnākt,384
parādišanīt,370
rakstīt,368
teikt,356
meklēt,354
sākt,348
top,327
notikt,316
izteikt,311
uzaicinatāt,307
izlikt,302
darrīts,302
patikt,294
atstāt,294
pieņemt,292
izdot,292
spēt,283
aiziet,274
izlaist,272
celties,269
uzņemt,261
atdot,255
atlikt,255
lūgt,253
sirns,247
braukt,235
parādīt,234
tulīt,233
teikties,231
uzsaukt,226
atbildēt,224
maut,223
iziet,219
nospriest,218
ēst,216
mirt,209
prast,206
turrēt,206
mācīt,203
pienākt,187
celt,187
glābt,185
darra,177
pirkt,174
beigt,167
izslēgt,163
iecelt,161
gulēt,159
rādīties,156
ciest,152
pieminēt,152
pavīzsēt,150
palīdzēt,149
atņemt,146
darrs,142
pateicibas,142
staigāt,141
vilt,141
deļīt,141
sanākt,138
klausīt,136
apstiprināt,135
dzimt,132
sasaukt,131
vēlēt,130
gaidīt,126
krist,125
noiet,125
vērt,124
mīlēt,123
minēt,121
augt,118
saņemt,117
vaidēt,117
taisīt,117
pavēlēt,116
rādīt,113
nodegt,113
izglābt,112
degt,111
ielikt,111
gribedams,110
izbēgt,110
pāriet,109
saccīt,109
savadīt,109
kopt,108
mīt,106
mācēt,106
laulāt,106
uzdot,104
delīt,103
aicināt,102
atbraukt,101
gadīties,99
iedot,98
saudēt,97
atlaist,97
pārradīt,97
strādāt,96
spēcibēties,95
pateikt,92
nosaukt,91
saprast,89
atronēt,88
mājot,87
pienākīties,87
beidzot,85
atsūtīt,85
domāt,85
līt,84
trūkt,84
pabeigt,84
steigties,83
gādāt,83
vīt,83
spīdēt,82
uziet,81
birt,80
uzlikt,80
raudāt,80
maldīt,79
stāstīt,79
aust,78
deļāt,78
lassīt,78
iesākt,77
atsaukties,77
miet,76
dzīt,76
paņemt,76
vest,74
nest,74
runāt,74
pielikt,74
dziedāt,74
valdīt,74
uzcelt,74
rasties,74
rāt,73
sēt,72
less,71
pieteikt,71
pļaut,71
mācīties,70
sarakstīt,70
dzert,69
sludināt,68
pārnākt,68
pamācišanāt,67
aizbēgt,67
slaukt,65
dalīt,65
pateicibēties,64
klāt,64
tecēt,64
deļēties,64
īgt,63
klāties,63
cienīt,62
aizņemt,61
iedzīvotajāt,61
aizliegt,60
dabujams,60
nosist,60
rīt,60
pakalt,59
pateicibu,59
pieklāt,59
pasīstēt,59
biškīt,58
sadzirdēt,58
likties,57
saldatāt,57
saroīt,56
doties,56
Mattīt,55
apmeklēt,54
sarkauēties,53
pieklīst,53
pelnīt,53
glabāt,53
mest,53
atdabūt,52
pattāt,52
piekrist,52
kāpt,52
beigties,51
vilkt,51
sadegt,51
parradudevejāt,51
rūkt,51
pieklāties,50
paganīt,50
pierādīt,50
salt,50
nosagtāt,50
pārņemt,49
izdarrīt,49
izņemt,49
peldēt,49
šaut,49
izdoties,48
apstelēt,48
rakt,47
parradudeveju,47
apgādatajāt,47
raksts,47
uztaisīt,47
pārtikt,47
kaut,46
brēkt,46
apkopt,46
raut,46
laist,45
izsēt,45
pacelt,45
sargāt,45
ļaut,45
noņemt,45
raudzīt,44
lūgties,44
mākt,44
sniegt,44
māt,44
apliecināt,43
sūtīt,43
rads,43
glābties,43
