NOUN,count
gads,23717
laiks,18829
zeme,14539
diena,14308
māja,12703
lieta,12415
bērns,12090
pagasts,12051
skola,11707
darbs,11099
dievs,11071
kungs,10253
vieta,10149
miņa,9348
nauda,8730
latvietis,8229
cilveks,8117
roka,7803
biedrība,7466
zirgs,7461
nams,7239
draudze,7195
pilsēta,6960
puse,6774
daļa,6652
tauta,6381
saimnieks,6292
rublis,6212
ceļš,6188
tiesa,5867
muiža,5711
mācitajs,5631
mārds,5537
lops,5255
lauks,5240
baznica,5082
sirds,5054
miņs,5012
ļaudis,4762
priekša,4544
koks,4496
vārds,4455
vakars,4407
prieks,4381
nakts,4317
apriņķis,4223
doma,4151
spēks,4137
miers,4122
dēls,4100
acs,4071
māte,4033
valoda,3956
raksts,3949
amats,3839
auglis,3714
krievs,3647
prāts,3634
draugs,3526
vīrs,3469
ūdens,3456
uguns,3428
svētki,3371
siema,3277
rīts,3274
balss,3250
kronis,3217
gods,3205
iela,3168
kgs,3066
grāmata,3061
loceklis,3058
pasaule,3056
likums,3054
ticiba,3041
mēnesis,2997
gals,2992
augusts,2979
valdiba,2937
gabals,2914
guberņa,2908
laime,2905
Varets,2904
mīlestiba,2901
zemkopis,2895
apgabals,2839
atbilde,2815
dzīve,2809
kuģis,2690
dziesma,2672
palīgs,2663
šīds,2619
maksa,2560
barons,2548
kars,2507
krogs,2451
meita,2447
ēka,2442
skolotājs,2433
runa,2415
dašs,2399
Pēterburga,2395
rudzi,2395
lapa,2392
sapulce,2359
valsts,2359
māciba,2355
labums,2351
brālis,2335
numurs,2330
zemnieks,2328
labiba,2224
biedrs,2212
skāde,2210
mērs,2175
manta,2162
anglis,2156
cena,2155
šeijene,2145
starpa,2135
mala,2120
sēkla,2119
vāci,2115
kāja,2098
nedēļa,2096
kārta,2096
miets,2089
mēsls,2074
vareja,2064
tēms,2061
sams,2058
Keisars,2020
gaiss,2014
sāle,2002
galms,2002
kalps,1996
tirgus,1975
stunda,1975
jauneklis,1964
tāle,1945
pulks,1944
parāds,1935
mīrs,1922
Liepaja,1881
rats,1864
upe,1864
vasara,1862
laikraksts,1854
amise,1838
iztaba,1836
bēda,1823
miesa,1812
masa,1808
tēma,1806
būšana,1799
avīze,1790
strādnieks,1784
priekšnieks,1765
nelaime,1759
īpašnieks,1755
daba,1754
jūra,1747
pusdiena,1746
pēda,1727
februāris,1726
padoms,1726
skaits,1693
debess,1674
Luters,1669
kaps,1667
pils,1663
lietus,1634
dzīviba,1634
iesākums,1624
nelaiķis,1621
zemkopiba,1613
vecaks,1595
solis,1594
gars,1576
kopa,1575
Miņs,1571
jūlijs,1569
siena,1569
derigs,1564
āboliņš,1554
policeja,1554
Oktobers,1552
brīdis,1548
maijadzigs,1533
jūnijs,1515
ķeisars,1500
kartuseļs,1498
malka,1495
dakteris,1484
stallis,1479
mešs,1478
notikums,1475
logs,1472
ārzemes,1463
zelts,1456
persona,1453
samilija,1448
stāds,1445
alga,1440
malde,1435
reiza,1434
grēks,1433
ķēniņš,1423
galds,1412
siņa,1411
tiesiba,1403
reize,1400
turene,1390
sāls,1382
kalns,1375
koris,1373
dziedašana,1371
svētdiena,1369
skolotajs,1368
bariba,1368
trūkums,1366
vīse,1362
miezis,1349
piens,1346
spriedums,1340
Maija,1335
lūgšana,1327
prece,1320
baznics,1313
Zeptembers,1313
sieva,1310
Saule,1289
meitene,1285
mietnieks,1285
papīrs,1283
tēvs,1266
komiteja,1255
franči,1255
jautājums,1254
salms,1249
nāme,1229
grauds,1229
iemesls,1224
grāss,1222
Merca,1221
gaisma,1217
auss,1214
mašina,1213
Mercs,1197
maijs,1189
līdzeklis,1183
prasija,1174
visione,1164
milti,1157
dašads,1157
asara,1146
maiss,1145
mūšs,1144
Mārds,1143
izstāde,1139
zemis,1134
Valdiba,1111
sala,1106
Diems,1101
briesmas,1100
ārsts,1093
beigas,1089
cūka,1089
komisija,1088
līķis,1079
stāveja,1076
dašada,1074
cietums,1074
