NOUN,count
dievs,7668
gads,6246
kungs,5878
zeme,5339
tiesa,4455
laiks,4079
diena,3966
bērns,3886
cilveks,3493
pagasts,3042
darbs,3039
lieta,3028
ļaudis,2984
māja,2664
vieta,2655
draudze,2602
grāmata,2390
roka,2248
sirds,2246
miņa,2194
gods,2155
mārds,2147
nauda,2004
prieks,1956
mācitajs,1933
prāts,1933
pasaule,1867
miņs,1855
nams,1808
zirgs,1705
vārds,1692
muiža,1675
baznica,1665
jūra,1570
Diems,1558
kuģis,1555
vīrs,1514
draugs,1501
spēks,1484
miers,1484
turks,1467
latvietis,1395
pusse,1367
jav,1350
skola,1326
Eņlenders,1279
grēks,1260
koks,1200
reize,1192
ceļš,1186
priekša,1184
ūdens,1183
saimnieks,1168
kurrs,1164
Keisers,1130
dēls,1128
manta,1099
accis,1094
citts,1092
lops,1091
gals,1082
citta,1066
bēda,1055
māte,1053
Bībele,1025
maksa,1020
ienaidnieks,1017
krievs,1007
kalns,983
gabals,958
mīlestiba,945
mala,944
siema,940
uguns,930
lauks,930
nakts,915
sāls,911
miesa,898
kurra,897
iekša,892
doma,866
tauta,842
sala,835
debess,832
dziesma,827
rīts,825
rudzi,810
auglis,805
padoms,798
meita,797
brālis,797
sams,791
kāja,789
starpa,788
biedrība,786
pulks,779
kronis,774
simts,774
Amise,774
palike,770
karrs,742
lūgšana,710
tappe,709
garrs,706
pilsats,699
esss,699
marrs,699
puds,695
mēnesis,680
loceklis,678
kalps,676
raksts,667
tūkstotis,666
kārta,661
tēma,659
krogs,636
pilsēta,635
dmēsele,631
tēms,626
tirgus,613
ticciba,611
amats,609
baznics,599
miezis,593
auss,592
Lutters,583
Zprančs,581
pēda,581
likums,581
masa,569
Ķeisers,569
Miņs,567
galms,565
dzelse,561
māciba,553
daba,550
stāsts,537
pūrs,535
sīme,524
kopa,523
Mārds,522
Saule,521
maiss,520
vissionars,519
nieks,509
gribeja,506
Liepaja,498
nāce,498
biedrs,498
mīrs,496
tēvs,495
ēka,493
nabags,491
zemnieks,486
zemis,482
šēlastiba,477
mūšs,475
apriņķis,475
puisis,474
ārs,474
maldišana,473
zelts,469
nelaime,468
paligs,463
siena,463
prettis,461
gaiss,459
brīnums,459
labums,458
valsts,454
stunda,452
galds,449
pils,447
sēkla,442
būšana,439
krusts,437
Lins,436
maloda,433
lappa,428
sāce,426
ķēniņš,425
avīze,422
tabaka,421
dašs,419
miets,419
amišs,418
iela,418
sudrabs,413
dzīviba,411
ciems,410
tāle,409
saldats,405
laime,403
bagats,400
prūsis,396
balss,396
mešs,394
minņs,394
cittads,389
sludinašana,388
briesmas,385
darrijis,379
vidus,377
jūdze,377
jauneklis,375
termins,374
bilde,364
Pēterburga,364
cūka,362
paliccis,362
gans,357
miņns,357
šīds,357
Visss,354
nāme,354
mērs,354
mārda,353
Māczeme,348
prassišana,347
siems,347
osta,347
lietus,347
mācibs,347
Eistreiķers,345
šini,339
pārradīt,339
runa,339
kristigs,337
šēligs,337
ērģeles,337
sāle,336
mirsnieks,335
dakteris,328
valdišana,327
puss,327
vāci,327
cels,326
assara,324
svētki,324
redzejis,323
tappis,322
dzīve,320
ratts,320
skāde,319
cinis,319
pulka,319
suns,318
atrade,318
drēbe,317
gaisma,315
durmis,312
iztaba,310
jumts,310
bērniņš,310
trūkums,307
bailes,301
brīdis,301
tams,300
godigs,300
gudriba,300
stāveja,299
pagans,299
dabujis,298
kauns,298
slola,297
bads,297
vissads,295
kapps,294
lassitajs,293
Pestitajs,293
svētdiena,289
derrigs,286
grāmatiņa,286
sērga,286
lielaks,283
ticcibs,280
darrijušs,280
palīgs,280
maldinieks,280
malods,280
taī,279
vecaks,277
makars,277
nāve,277
ceļļs,277
lode,276
gars,275
priecigs,275
mass,273
logs,273
beigums,272
meitiņa,271
patte,271
putns,271
malka,271
rubl,270
garra,269
dumpis,268
dzīvošana,268
redzeja,267
sieva,266
lantkārte,266
mūris,265
ties,265
pussis,265
mīkla,265
dālderis,264
ikdiena,263
Dietvs,263
svētibs,263
liccis,263
pielikums,262
Diema,261
galma,260
kopt,258
nelaiķis,253
uppe,252
gaišums,252
labaks,251
ļautiņš,249
brandmīns,249
sirņa,248
mācitaja,248
augša,246
briesmigs,245
ticcigs,245
dvēsele,243
domaja,243
darrs,242
less,239
posts,239
kaušanās,239
smešs,238
robešs,238
gribejs,238
piens,237
turreja,236
lasss,235
augusts,234
iesākums,234
ledus,234
sludinašans,232
siļķe,231
lins,230
kambaris,229
šēlastibs,229
karš,228
kristits,228
dabujušs,227
altāris,226
tappušs,226
gulta,226
oktobris,225
daļa,225
kauls,224
sprediķis,224
putraims,223
roiņs,221
malstiba,220
cienigs,220
runaja,219
šinis,219
pods,219
mēle,217
rublis,217
saime,215
Tēms,215
bijuse,215
tornis,213
Londone,212
cietums,212
Ješs,211
mins,210
akmiņs,210
noticcis,210
pussdiena,209
dzirdejis,209
atraitne,209
tilts,209
notikums,208
karra-spēks,207
āda,207
August,207
papīrs,206
gribets,205
Kinesers,205
puķe,204
labiba,203
laicigs,203
lūds,202
skolmeisters,202
dumpinieks,201
Leišs,201
kaimiņš,199
mokas,198
mucca,198
siemišķs,197
mugura,197
smērs,197
dāmana,196
sakne,196
vecakajs,195
gudribs,195
Vāczeme,195
Asias,195
pērkons,194
vasara,194
sāpe,194
līķis,194
alga,194
desmits,193
sēns,192
Enlenders,192
kakls,192
strādnieks,192
vakars,191
mirrušs,191
Citta,190
paliga,189
Zeptembris,188
remisione,187
vareja,187
minēt,186
Kēniņs,186
Zludinašana,185
māceklis,185
braks,184
saiva,184
cilmeks,184
saimniece,184
pūliņš,182
vissada,181
eņģelis,181
tvisss,181
strāpe,180
jātnieks,179
grēcinieks,179
deme,179
retts,179
dabujama,179
Kuugs,179
Labiba,178
rubuļs,178
galva,177
stallis,176
decembris,176
miegs,176
kmiešs,175
aste,175
precca,175
assinis,175
ness,174
bitte,174
Zardinjers,174
valoda,174
makara,173
kviesis,172
gaušs,172
grauds,171
elle,170
tumsiba,170
sniegs,170
pirksts,170
slolmeisters,170
pulkstenis,170
mietnieks,169
sviests,169
rubeļs,168
dzeršana,167
prassa,166
cerriba,165
kopšana,165
Mīrs,164
masaks,164
milti,164
salms,163
atsīšana,163
cittadi,162
vista,162
Parise,162
dusmas,162
augums,161
lānis,161
jacieš,161
liesma,161
šins,160
Mācitajs,159
debesis,159
Kēniņš,158
akmins,158
sūds,157
miljons,157
precce,157
godigi,157
meisters,156
kalpošana,155
dašads,155
šana,153
prassija,153
barribs,153
pirms,153
sargs,151
dievabījigs,151
nomirre,151
lāde,151
lopiņš,150
karstums,149
sieds,149
trauks,149
mašine,149
Zemastopole,147
Emangeliums,146
pamilija,145
vecums,145
dārss,145
nomirris,144
virsnieks,144
saccijis,144
slols,144
dašada,144
merste,144
Ģprančs,144
ronās,144
drāna,143
lielskungs,143
stāstija,143
Marreja,142
krēsls,141
Jūrmala,141
laiva,141
messels,140
libds,140
muccs,140
Ši,140
sobs,139
mācija,139
derriga,139
brūte,138
Zeptembers,137
marrejušs,137
brandmīna,137
caurums,137
Turpliks,137
barriba,137
ziņa,137
sulainis,136
maijadzigs,136
bote,136
guleja,136
rente,136
meli,134
bauslis,134
apustulis,134
labaka,134
klēts,134
lieliem-gabals,134
trs,133
deve,133
Jūni,133
krasts,133
dāvana,133
gaļa,133
pavēlešanu,133
mierigs,133
nāmi,132
karra-kuģs,132
nabadziņš,132
pāris,131
Oktobers,131
demejs,131
muižnieks,131
andele,131
Grieķers,131
Baznica,131
mūšigs,130
lielkungs,130
mīna,130
Zirma,129
nags,129
nemiers,129
rādijs,129
labibs,129
Liepajs,129
augšs,128
bīdeleta,128
Dieivs,128
krodzinieks,128
mārciņa,127
arrajs,127
rudens,127
priekšnieks,127
gattams,127
malsts,127
rakstitajs,126
taisniba,125
Āra,125
medus,125
piemiņa,125
Kattoļs,125
upps,125
mānis,125
slaidrs,125
turrene,124
mode,124
gattavs,124
pussi,123
luste,123
gattava,123
Eistreiķeris,123
parrads,123
priesteris,122
Krime,122
piederrigs,122
spārns,122
rads,122
tārps,122
saprašana,121
vinņs,121
turrs,121
māsa,120
kalejs,120
Amrika,120
vists,119
retti,119
bedre,119
derriba,119
pārtikšana,119
dienests,119
meldiņš,118
tums,118
lapps,118
solis,118
ēdiens,117
meša,117
pelni,117
aita,117
barons,117
Latmiešs,117
nomirrušs,117
ißso,116
ierocis,116
spriedums,116
mārdi,116
ārpuss,116
Meccs,116
dzirdeja,115
polis,115
katris,115
tuksnesis,115
blaks,115
viņns,115
sēdeja,115
virsa,114
karra,114
platts,114
misionars,114
sēta,114
febris,114
laipnigs,113
kartuppeļs,113
biess,112
gribejis,112
kritte,112
sods,112
kaušana,112
cerribs,112
jūds,111
dziedaja,111
tanis,111
assins,111
dabujs,111
ala,111
pakaļa,111
Indijers,110
mirris,110
tīrums,110
kuģinieks,110
misione,110
krūms,110
Garrs,109
atstāje,109
cilts,109
Maija,109
alus,109
apdoms,109
prātigs,108
siemeļs,108
tumaks,108
redzejs,108
piere,108
dzēriens,108
jūrmala,108
Gprančs,108
mārciņš,108
elks,108
kristiga,107
Krievuzeme,107
princis,107
tra,107
maks,106
matts,106
grāvis,105
taisita,105
Citts,105
bagata,105
silķs,105
krāsns,105
vētra,104
uppurs,104
labklāšana,104
durvis,104
tviņs,104
Tams,104
piesēdetajs,104
lielums,104
svētiba,103
auka,103
Pēterburgs,103
sinadams,103
prasss,103
stabs,103
gadijs,102
Amišu-siņa,102
Donama,102
grunts,102
rullis,101
kappa,101
gomis,101
zemite,101
tvārds,101
pērle,101
slimnieks,101
appakša,101
pļama,100
plinte,100
muļķis,100
lassa,100
Mārda,100
miršana,99
mels,99
lappiņa,99
sodiba,99
gribejušs,99
ciltveks,99
marra,98
Nomembris,98
pestišana,98
Maksaja,98
dibens,98
kabata,98
šēliga,97
mērts,97
Cilveks,97
krājums,97
arkls,97
straume,97
taisijās,96
tvissa,96
pātari,96
briesmiga,95
pasudušs,95
birkavs,95
laupitajs,95
slimiba,95
nelaiks,95
runajis,94
amatnieks,94
valstiba,94
krūtis,94
karrogs,94
cerrejs,94
Pāmests,94
mnms,94
kabds,94
meisteris,94
iztabas,94
Persers,94
ģīmis,93
gailis,93
ceme,93
smiesta,93
Amists,93
kāsa,93
lācis,93
trešs,93
bagatigi,92
brūtgans,92
Berline,92
minņa,92
karra-spēka,92
mīse,92
kancele,91
cilveka,91
graudiņš,91
valdinieks,91
leija,91
skaitlis,91
pauts,91
branga,91
esars,91
osols,91
kamanas,91
stāds,91
nomads,91
Avicchu-ciņa,91
rīks,90
liecibs,90
pieminets,90
Decembers,90
rudzumilts,90
ticcis,90
igaunis,90
jūrmalas-gubernements,90
drošiba,90
taisnibs,90
dānis,89
Nīga,89
bnhs,89
baļķis,89
meitene,89
mūša,89
nasta,88
rags,88
stundiņa,88
pagāns,88
ļaunums,88
putniņš,88
sturme,88
mīla,88
apģērbs,88
jasaka,88
eepaja,88
bailigs,88
ganiba,87
ģenerālis,87
Marrs,87
glābšana,87
varets,87
Dielvs,87
pagrabs,87
sakta,87
slāde,86
kurmis,86
taisits,86
skudra,86
plosts,86
kāriba,86
tīkls,86
laiciņš,86
vaigs,86
tāļaks,85
biskaps,85
dmēselis,85
ieraudzija,85
marrejis,85
prieca,85
sils,85
vējš,84
nabadziba,84
miņna,84
klints,84
sirsnigs,84
mīligs,84
rinde,83
demušs,83
duss,83
domajis,83
mantinieks,83
pavēlejis,83
uzraugs,83
birkams,83
varetu,83
tikums,83
dūša,83
spošums,82
cēle,82
dims,82
ogle,82
solīt,82
spēcigs,82
smilts,82
roārds,82
sirsnigi,82
taisnība,82
liuuu,82
barrs,81
Turprettis,81
Karra-ciņa,81
sers,81
bēdigs,81
atgriešana,81
sārks,81
bīdelets,81
sinņa,81
pamassara,81
pirma,81
melts,81
bezdiemigs,80
mīliba,80
mīra,80
novembris,80
aka,80
dēliņš,80
mese,80
prettinieks,80
malstis,80
Mārdus,80
klusss,80
cerre,80
pulciņš,80
magasīne,80
krūts,80
dūms,79
sanāce,79
priekšsīme,79
tviņš,79
sapnis,79
tabs,79
grūtums,79
Olenders,78
krittušs,78
sorte,78
roisss,78
nenieka,78
lielmāte,78
rija,78
kociņš,78
bagatiba,78
Zinams,78
lielu-gabals,78
bokstabs,78
dampkuģs,77
cetts,77
reiznieks,77
kuugs,77
nomirruša,77
sirdis,77
liecinieks,77
Ministers,77
Gubernaters,77
kārdinašana,77
māls,77
ticcs,77
jadarra,77
pateikšana,76
lassišana,76
atbilde,76
jaukums,76
kapsēta,76
Jerusaleme,76
dima,76
kolera,76
strūga,76
grasis,76
sūtija,76
mārtiem,75
izstāstišana,75
laimigs,75
vaina,75
febrks,75
atlaide,75
ņo,75
Amises,75
bēres,75
pavēleja,75
assis,75
krittis,75
Klātaka,75
Garra,75
būdiņa,75
Eņlante,75
palīdzeja,75
Pāmils,75
marrejs,75
pļava,74
Vissionars,74
Māciešs,74
svaigzne,74
sudmalas,74
milks,74
saudešanas,74
smiekls,74
Kngs,73
vīns,73
passe,73
Majestiete,73
dziesmiņa,73
kūts,73
stāstiņš,73
mēders,73
stops,73
Kēnins,73
noma,73
draudce,73
pērminderis,73
riņķis,73
vassara,72
trese,72
deguns,72
kreizs,72
