NOUN,count
daliba,408
summa,408
grāmatiņa,408
kakls,407
dzelse,406
mins,405
visada,405
briesmigs,405
lēģers,404
peļņa,404
bads,403
malsts,402
gaušs,402
mode,399
Valdiba,398
līnija,396
preti,395
pavasaris,395
sakne,395
dālderis,395
nabags,394
būme,392
dāma,390
igaunis,390
ceļļs,390
strāpe,389
miņns,389
piere,389
rekrušs,388
mērķis,388
ienākšana,388
piedāma,387
salms,387
kapteinis,386
dabujušs,386
pasts,385
sulainis,385
ratts,384
druka,384
izdošana,383
gariga,382
lasitajs,382
liste,382
debe,379
maksašana,378
lasits,374
mats,374
brūte,373
šeijene,373
gatams,371
šēlastiba,370
kaimiņš,367
sērga,367
draudzene,367
priecigs,367
acumirklis,365
Ģludinašana,365
rente,363
tumsiba,363
beigums,362
nemiers,362
varetu,361
Oktobers,360
uzraugs,360
lūds,360
Zkola,359
uzturs,359
miegs,359
tapps,358
likumigs,358
mēlešans,357
ģīmis,357
gaļa,357
censure,356
pussis,356
akmiņs,355
augums,355
vienigs,354
milions,353
pagasta-tiesa,352
dumpis,352
redzejis,351
lasarete,350
meisters,350
labklāšana,349
rādijs,349
Luters,348
reģimente,347
pastarpa,347
ģimnasija,345
lielsirsts,345
pamats,345
mērts,344
kartupelis,344
alus,343
mars,343
pārdošana,342
telegrāss,340
straume,340
muižnieks,340
ikdiena,340
balle,340
lielgabals,340
tams,338
kristiba,338
putns,337
melte,337
biskaps,337
paste,335
drošiba,334
labibs,334
kattoļs,334
pļama,334
Mīrs,332
ness,332
sludinašana,332
Leišs,332
biedris,331
dievakalpošana,331
minets,330
siemeļs,329
slimiba,329
komisione,329
lielkungs,329
mese,328
māceklis,328
šāviens,327
cimds,324
karalauks,323
kabata,323
mēle,322
dēlis,321
lieciba,321
sēdeja,320
Lieldiena,319
ogle,318
karstums,318
mīna,318
amatnieks,317
rēķinums,317
atbilde,316
Mešamuiža,316
klēts,315
kantoris,314
Maldišana,314
dzirdejis,314
mantinieks,313
dema,312
saite,312
gribeja,311
esss,311
tornis,310
uzņemšana,310
siltums,309
avīze,309
visads,309
mīra,308
spēle,307
dārss,307
nasta,307
nāmi,305
mežs,305
prassišana,305
siļķe,305
ticciba,304
bite,304
skaņa,301
kamanas,300
laikraksts,299
sins,299
braucejs,298
cauris,298
klusuciešana,298
rudens,298
masaks,296
šana,296
dziedaja,295
posts,294
rullis,293
stabs,293
rags,292
latvis,291
ērģelnieks,291
magasiņa,290
miess,290
upuris,289
malste,289
mašina,289
hercogs,289
tālaks,288
tumums,288
pērkons,288
dems,287
sudmalas,285
malstis,285
laimigs,283
milioni,283
slepkams,283
putraims,283
akmins,282
robešs,282
deriba,281
troksnis,281
Visione,281
reiza,281
smilts,281
pods,280
lētaks,280
deriga,280
patikšana,279
tumuma,279
grāds,278
sinašana,277
meša,277
maks,277
āboliņš,277
polis,276
Tērpata,276
prets,276
siemiešs,276
Mešotne,276
rekte,276
Diema,275
pāris,275
Kriemija,275
dzelss,275
kaite,275
pirksts,275
Jrlama,275
eņģelis,275
tēmija,274
cietoksnis,274
celšana,273
birkams,272
pulciņš,272
maijadzets,271
laukskola,271
ieradums,271
brīšs,270
strāpets,270
lielaja,270
vispārigs,270
musiķs,270
bēdigs,269
kārtiba,269
sieds,269
pircejs,268
ķirspēle,268
baļķis,268
prete,267
Konstantinopole,267
grasis,266
Mācitajs,266
darijis,265
Zaimnieks,265
Krievuzeme,265
Junis,264
krūms,264
skaitlis,264
Dacchada,264
godigs,264
jautašana,264
dzīvoklis,264
publika,263
Zeptembers,263
Juns,263
lassitajs,263
meseliba,262
Tēms,262
lielskungs,262
svētiba,262
mēls,262
mēlešana,261
anglis,261
arkls,260
liecibs,260
sūdziba,260
jaukums,260
otris,259
maijadziga,259
prome,258
tāle,258
mārciņa,257
stacione,256
visionārs,256
laiciņš,256
dūms,255
varets,255
karogs,255
meli,254
Rumenija,254
turrene,254
pase,253
Mircama,253
dzēriens,253
draudziba,252
brūtgans,251
domats,251
Konstantinopele,251
lappa,251
ļautiņš,250
kapitāls,250
pagans,249
procente,249
sāns,248
palīdzibas,248
amots,248
biess,247
tālums,247
braukšana,246
Kaukasija,246
Mecaks,246
