NOUN,count
tiesa,7967
pagasts,6861
dievs,4418
gads,2858
kungs,2679
diena,2466
bērns,2238
māja,2168
laiks,1806
zeme,1797
cilveks,1782
manta,1771
nauda,1752
saimnieks,1658
vārds,1516
muiža,1506
pārradīt,1502
darbs,1489
miņa,1467
lieta,1424
grāmata,1318
ļaudis,1277
sāls,1274
roka,1262
jav,1242
sirds,1179
vieta,1176
prāts,1173
zirgs,1159
tappe,1157
draudze,1111
mārds,1097
mucca,1062
miņs,1032
kronis,1028
prieks,1026
sams,1013
draugs,960
prassišana,938
mācitajs,920
starpa,913
sludinašana,893
gods,876
taī,870
vīrs,856
māte,856
kurrs,830
pasaule,815
surte,765
rudzi,763
nams,720
accis,698
lauks,687
termins,682
auss,678
baznica,669
latvietis,657
rudzu-milts,656
lops,642
bēda,642
tēvs,617
grēks,610
dēls,601
doma,590
mēnesis,568
ceļš,547
krievs,544
skola,541
citts,538
Bībele,538
valsts,534
tabaka,527
koks,511
padoms,501
likums,496
miesa,495
miezis,490
miers,478
kaņeps,477
tirgus,467
mīlestiba,465
rīts,464
sabls,460
meita,459
palike,457
spēks,455
gals,451
sēkla,449
Zeptembris,442
brālis,440
citta,439
kāja,434
maksa,428
pods,423
nakts,423
auglis,418
priekša,414
labaka,413
Majestiete,408
lins,406
dziesma,406
biedrība,397
iekša,397
priešs,396
ūdens,393
pūrs,386
amats,384
laime,377
lūgšana,368
kalps,368
pavēlešanu,362
labiba,361
debess,360
reize,356
prettis,355
bērniņš,353
dzelse,352
muccs,350
oktobris,348
šīds,345
Citta,343
siema,343
miežu-putraims,342
apriņķis,341
vists,336
gabals,336
pusse,336
esss,334
daba,334
kalns,331
tēma,328
dvēsele,327
nāce,323
māciba,323
sieva,318
Saule,312
mala,311
puisis,308
sviests,308
paligs,306
saudešanas,305
krogs,305
nelaime,303
garrs,302
galms,301
masa,300
August,299
ticciba,294
raksts,293
nelaiķis,291
dālderis,291
galva,286
zemnieks,284
galds,281
vecakajs,280
kārta,279
loceklis,276
sudrabs,274
trūkums,273
runa,271
tauta,271
marrs,270
nieks,268
nabags,268
uguns,266
precca,265
decembris,264
kviesis,262
cittads,262
gribeja,259
maiss,258
tēms,258
balss,258
dmēsele,255
vāci,255
assara,252
labums,251
stāsts,250
valdišana,248
sāle,247
valoda,246
būšana,245
pulks,244
nomirrušs,243
Diems,242
trs,239
baznics,238
vista,237
pilsats,236
Reizeriska,235
biedrs,233
zemis,232
kurra,228
raba,228
avīze,228
linu-sēkla,226
parrads,224
šēlastiba,222
dzīvošana,222
atraitne,221
godigs,221
Si,221
stunda,220
jūra,220
skrīveris,218
vareja,218
milti,218
dā,218
zelts,217
nāve,216
ties,215
iztaba,214
tams,214
vakars,213
strīveris,210
sāce,210
jauneklis,209
roiņs,209
nelaiks,208
placcis,206
suns,202
vinņs,201
atrade,200
kapps,199
rublis,198
vecaks,197
novembris,195
mūšs,195
krusts,194
šēligs,194
dzīviba,193
Kuldiga,193
esere,193
gaisma,191
mīrs,191
ļautiņš,190
bīdeleta,190
maldišana,190
brandvīns,189
8o,188
Lutters,187
pils,187
meitiņa,186
lāde,185
Citts,184
domaja,184
mērs,184
Jūni,184
darrijis,183
bailes,182
gaušs,180
