NOUN,count
tiesa,11902
pagasts,11831
dievs,3460
gads,3327
muiža,3281
diena,3180
nauda,3155
zeme,2492
kungs,2457
saimnieks,2297
laiks,2162
pārradīt,2096
sāls,2077
manta,2065
māja,2047
bērns,2013
cilveks,1962
tappe,1958
kurrs,1955
lieta,1850
zirgs,1536
kronis,1361
vieta,1342
starpa,1297
prassišana,1278
krievs,1276
darbs,1215
vārds,1196
ļaudis,1165
mucca,1135
mēnesis,1130
valsts,1106
papīrs,1104
roka,1083
prāts,1072
miņa,1015
sludinašana,1011
grāmata,997
papīre,957
surte,953
gods,925
rudzu-milts,900
rublis,885
miņs,884
rudzi,829
pavēlešanu,820
prieks,809
draudze,802
sirds,799
koks,785
ūdens,783
baznica,764
maksa,746
krogs,727
Majestiete,716
tēvs,711
draugs,700
nams,694
skola,684
māte,674
auss,673
vīrs,661
termins,648
lauks,647
lops,647
miezis,612
latvietis,603
tabaka,598
dēls,592
mārds,588
pūrs,585
lins,577
ceļš,576
likums,575
trūkums,565
vara,564
sēkla,559
citts,554
pasaule,552
tirgus,549
jav,534
dālderis,529
accis,529
grasis,524
gals,518
labaka,515
Citta,512
priešs,511
doma,505
citta,500
bēda,493
rīts,484
spēks,482
kārta,481
mācitajs,479
meita,475
kalns,472
kaņeps,469
Patmaldinieka,468
miers,467
pods,463
nakts,459
kurra,459
uguns,455
sams,447
dzelse,443
zemnieks,441
auglis,423
raba,419
kāja,419
Zeptembris,416
kviesis,414
pusse,414
linu-sēkla,413
muccs,413
sviests,410
miežu-putraims,410
priekša,408
cittads,404
skrīveris,403
apriņķis,396
Saule,394
labiba,389
gabals,388
kimeņa,387
bīdeleta,383
siema,383
palike,381
masa,379
trs,378
vists,378
laime,376
oktobris,376
kviešu-milts,374
reize,372
jūra,370
brālis,369
miesa,368
valdišana,368
maldišana,368
augusts,361
saudešanas,360
rente,360
padoms,355
pulks,355
sudrabs,351
amats,343
nelaime,342
nomirrušs,342
esss,341
tappis,324
taī,323
marrs,323
Kuldiga,321
mala,321
būšana,319
puisis,318
gaiss,317
daba,316
Reizeriska,315
decembris,315
spriedums,311
prasslšana,308
godigs,305
Keisers,300
meija,299
sāle,297
sīme,294
mešs,291
pēda,290
paligs,287
sieva,285
māciba,283
Varis,280
tēms,279
grēks,278
vidus,278
strīveris,277
nau,276
vāci,272
ota,271
mīlestiba,270
garrs,268
prettis,268
pilsēta,267
precca,267
Jūni,267
galva,265
karrs,262
slrīmeris,262
nāce,261
vista,261
Aeiseriska,260
mērs,260
putns,253
August,252
sāce,250
lūgšana,249
roiņs,248
vīkšns,248
dev,244
šēligs,244
galds,244
lietus,241
ēka,241
cienigs,240
labums,239
nieks,239
debess,237
tāle,237
kuģis,235
nabags,233
vakars,227
rullis,226
ledus,225
maiss,222
stunda,222
vecaks,218
nāve,218
tēma,217
gribeja,217
assara,216
Godiba,215
lappa,215
ciems,214
Tukume,214
iekša,212
baznics,211
jauneklis,211
bērniņš,211
kalps,209
dziesma,209
kambaris,208
lāde,205
appakšrakstitas,204
pussdiena,203
krusts,203
dakteris,202
avīze,202
dvēsele,202
8o,200
ib3o,198
Rīge,197
tcesa,197
brīnums,196
balss,194
devejs,194
pils,193
nelaiks,193
sērga,193
mūšs,190
galms,190
ļautiņš,187
siļķe,186
tauta,185
miets,184
