VERB,count
būt,70307
tikt,16899
varēt,12536
gribēt,10480
tapt,9399
nākt,9070
iet,8232
palikt,6999
dabūt,6667
dot,4704
likt,4540
minēt,4507
darīt,4186
ņemt,4113
sākt,4041
atrast,3843
redzēt,3804
stāvēt,3413
pārdot,3246
sacīt,3242
notikt,3165
mācīt,2752
spēt,2742
dzīvot,2720
teikt,2608
lūgt,2571
atbildēt,2562
braukt,2547
mirt,2534
rakstīt,2500
dzirdēt,2445
celt,2285
mīt,2206
saukt,2095
turēt,1977
nolikt,1973
trūkt,1749
krist,1744
pieņemt,1721
maksāt,1703
runāt,1666
gulēt,1666
meklēt,1647
atstāt,1630
uzaicinatāt,1627
aiziet,1602
saņemt,1584
uzņemt,1556
gaidīt,1524
atnākt,1488
celties,1395
beigt,1379
nest,1283
mest,1202
klausīt,1185
iziet,1179
ziņot,1168
iesākt,1122
izdot,1105
noturēt,1088
augt,1081
iemērot,1081
apmeklēt,1069
pirkt,1067
iecelt,1061
nomirt,1057
pasniegt,1056
palīdzēt,1018
prast,1018
uzaicināt,1004
ēst,1003
parādīt,970
pienest,970
pieminēt,969
kopt,967
lasīt,954
taisīt,945
patikt,929
saprast,928
iemainot,920
panākt,909
iznākt,903
uzdot,891
atbraukt,887
sanākt,877
miet,874
skolot,867
skanēt,864
nospriest,861
beidzot,853
nodot,847
laist,843
izteikt,829
gādāt,821
ciest,809
rādīt,809
dzīt,802
likties,792
atlikt,781
cerēt,775
sūtīt,758
ienākt,758
apstiprināt,753
lūkot,741
laulāt,738
atrodāt,730
saldatāt,723
pienākt,695
staigāt,690
iespēt,680
steigties,672
iemest,671
atlaist,658
dziedāt,657
less,655
Kristus,651
ieņemt,639
darrīt,636
sniegt,621
uziet,604
paganīt,600
pasīstēt,597
atbildēties,585
nobraukt,581
izlaist,580
strādāt,577
pietikt,575
uzlikt,573
paiet,572
dzimt,571
pastāvēt,570
doties,564
atbilst,561
sākties,561
appakšēt,559
skriet,558
paņemt,556
piederēt,551
pabeigt,551
derēt,549
degt,536
pierādīt,535
izcelties,533
izdarīt,531
atmest,527
pieteikties,524
izglābt,519
kāpt,519
uzlūkot,515
